,AgeCount,Class,DirectionX,DirectionY,DistanceToBack,DistanceToFront,HeadingDeg_DERIVED,Length,ObjectId,PositionX,PositionY,PredictionCount,Speed,SpeedX,SpeedY,StaticCount,Time,TimeElapsed,TrackQuality,Width
0,306,Car,-0.855697,0.517478,-0.712584,0.565982,-88.16321,5.536734,3133,-7.5079746,-174.92693,2,19.724646,0.6322267,-19.71451,6000,2024-12-20 12:49:27.300,93.5,67.85036,2.5
2,313,Car,-0.860892,0.508787,-0.816413,0.511219,-87.583084,5.536734,3133,-6.961062,-182.94164,0,20.500393,0.8645153,-20.482155,6000,2024-12-20 12:49:27.600,93.8,65.89592,2.5
4,320,Car,-0.852402,0.522887,-1.030673,0.082876,-88.526085,5.536734,3133,-7.1273417,-189.944,2,20.378963,0.5241839,-20.372221,6000,2024-12-20 12:49:28.000,94.2,62.67893,2.5
6,327,Car,-0.85505,0.518545,-1.030673,0.082876,-88.234695,5.536734,3133,-6.7992926,-197.12595,2,20.419394,0.62903005,-20.4097,6000,2024-12-20 12:49:28.400,94.6,58.321228,2.5
9,335,Car,-0.851918,0.523675,-0.967818,0.147186,-88.5791,5.536734,3133,-6.726876,-205.4065,4,20.495722,0.5082279,-20.48942,6000,2024-12-20 12:49:28.700,94.9,67.04736,2.5
10,342,Car,-0.851918,0.523675,-0.967818,0.147186,-88.5791,5.536734,3133,-6.5489836,-212.57777,11,20.495722,0.5082279,-20.48942,6000,2024-12-20 12:49:29.100,95.3,65.205864,2.5
12,349,Car,-0.850737,0.525592,-0.935057,0.157208,-88.70809,5.536734,3133,-6.437176,-220.80724,1,21.22784,0.47860506,-21.222445,6000,2024-12-20 12:49:29.500,95.7,67.153244,2.5
14,356,Car,-0.855611,0.51762,-0.92368,0.186984,-88.172745,5.536734,3133,-5.9640203,-228.45607,1,21.39333,0.68215346,-21.38245,6000,2024-12-20 12:49:29.800,96.0,59.689484,2.5
19,363,Car,-0.856133,0.516756,-1.001559,0.126618,-88.11491,5.536734,3133,-5.689873,-236.01291,5,21.441782,0.7053301,-21.430178,6000,2024-12-20 12:49:30.100,96.3,66.258865,2.5
21,370,Car,-0.856133,0.516756,-1.001559,0.126618,-88.11491,5.536734,3133,-5.4430656,-243.51349,12,21.441782,0.7053301,-21.430178,6000,2024-12-20 12:49:30.500,96.7,65.19077,2.5
25,377,Car,-0.859456,0.511209,-1.001559,0.126618,-87.7444,5.536734,3133,-5.0034237,-251.40427,0,21.752132,0.85610974,-21.73528,6000,2024-12-20 12:49:30.800,97.0,61.49522,2.5
31,384,Car,-0.859456,0.511209,-1.001559,0.126618,-87.7444,5.536734,3133,-4.7038054,-259.01166,7,21.752132,0.85610974,-21.73528,6000,2024-12-20 12:49:31.200,97.4,56.0535,2.5
1,252,Car,-0.849566,0.527483,-1.341777,0.893553,-88.83553,3.611854,3136,-7.924675,-125.742424,0,18.102238,0.36788172,-18.0985,6000,2024-12-20 12:49:27.300,93.5,72.78572,2.5
3,259,Car,-0.849974,0.526825,-1.100284,0.837093,-88.79121,3.611854,3136,-7.76684,-132.99574,0,18.74753,0.39549634,-18.743357,6000,2024-12-20 12:49:27.600,93.8,71.24489,2.5
5,266,Car,-0.846745,0.531999,-1.17059,0.911237,-89.14061,3.611854,3136,-7.785626,-140.15416,0,19.159445,0.28736642,-19.15729,6000,2024-12-20 12:49:28.000,94.2,68.9459,2.5
7,273,Car,-0.847045,0.531522,-1.217958,0.692835,-89.10833,3.611854,3136,-7.6565924,-147.41629,0,19.548555,0.30421486,-19.546188,6000,2024-12-20 12:49:28.400,94.6,70.03846,2.5
8,281,Car,-0.846134,0.532969,-1.093847,0.470048,-89.20631,3.611854,3136,-7.569276,-155.82942,0,19.961376,0.2765081,-19.959461,6000,2024-12-20 12:49:28.700,94.9,71.40189,2.5
11,288,Car,-0.850198,0.526463,-1.152672,0.308057,-88.76676,3.611854,3136,-7.2516356,-163.07617,1,20.138845,0.43343583,-20.13418,6000,2024-12-20 12:49:29.100,95.3,70.67311,2.5
13,295,Car,-0.849104,0.528226,-1.322659,0.158362,-88.885666,3.611854,3136,-7.1641946,-170.68614,1,20.514828,0.39896291,-20.510948,6000,2024-12-20 12:49:29.500,95.7,69.908,2.5
15,302,Car,-0.849524,0.527549,-1.184533,0.207191,-88.840004,3.611854,3136,-6.996806,-178.081,1,20.67326,0.41851637,-20.669022,6000,2024-12-20 12:49:29.800,96.0,70.45845,2.5
17,309,Car,-0.853097,0.521752,-1.057478,0.137668,-88.44985,3.611854,3136,-6.6447296,-185.70396,1,20.962242,0.5670673,-20.95457,6000,2024-12-20 12:49:30.100,96.3,60.704006,2.5
23,316,Car,-0.844937,0.534867,-1.022398,0.346532,-89.33486,3.611854,3136,-6.869221,-193.58052,0,21.360615,0.24796744,-21.359177,6000,2024-12-20 12:49:30.500,96.7,63.863445,2.5
27,323,Car,-0.843708,0.536802,-1.26445,0.405786,-89.46619,3.611854,3136,-6.865045,-201.62787,0,21.766262,0.2027893,-21.765318,6000,2024-12-20 12:49:30.800,97.0,72.062454,2.5
28,330,Car,-0.842747,0.53831,-1.256245,0.201646,-89.56866,3.611854,3136,-6.8333855,-209.57053,1,21.993372,0.16557343,-21.992748,6000,2024-12-20 12:49:31.200,97.4,73.45933,2.5
36,337,Car,-0.847924,0.530118,-1.195622,0.111245,-89.013435,3.611854,3136,-6.4621134,-217.61552,1,22.227987,0.38271967,-22.224691,6000,2024-12-20 12:49:31.500,97.7,71.49577,2.5
37,343,Car,-0.846786,0.531934,-1.195622,0.111245,-89.13625,3.611854,3136,-6.3981977,-224.69191,1,22.52178,0.33950743,-22.51922,6000,2024-12-20 12:49:31.800,98.0,67.885155,2.5
44,351,Car,-0.841679,0.539979,-1.195622,0.111245,-89.68218,3.611854,3136,-6.555896,-234.06184,2,22.769072,0.12629923,-22.76872,6000,2024-12-20 12:49:32.200,98.4,64.12777,2.5
48,359,Car,-0.839225,0.543784,-1.24528,0.047038,-89.94163,3.611854,3136,-6.6622844,-243.62216,0,23.084307,0.023518164,-23.084297,6000,2024-12-20 12:49:32.600,98.8,71.812874,2.5
52,365,Car,-0.848013,0.529976,-1.356573,-0.04727,-89.003815,3.611854,3136,-6.1202583,-250.91423,1,23.347708,0.40591818,-23.344177,6000,2024-12-20 12:49:32.900,99.1,66.67512,2.5
53,371,Car,-0.843832,0.536607,-1.404171,-0.109097,-89.45294,3.611854,3136,-6.266595,-257.84543,1,23.296991,0.22243533,-23.29593,6000,2024-12-20 12:49:33.200,99.4,68.063545,2.5
