Device_ID,Timestamp,Heart_Rate,Steps,Activity_Label,Activity_Confidence,Temperature,Humidity,Location,Battery_Level,Calories_Burned
Device_5,02:47.1,57,102,Sedentary,0.86,22.6,35,Home,77,13.18
Device_1,07:47.1,104,102,Walking,0.92,21.8,40.2,Street,35,4.28
Device_8,12:47.1,81,102,Walking,0.95,20.2,32.5,Street,68,3.56
Device_10,17:47.1,57,102,Walking,0.94,21,45.6,Home,50,13.18
Device_8,22:47.1,123,10624.33,Running,0.96,22.4,45.3,Gym,64,5.01
Device_1,27:47.1,92,756,Walking,0.92,21.6,35,Office,40,3.88
Device_3,32:47.1,86,1831,Walking,0.9,22.9,30.3,Street,26,3.7
Device_7,37:47.1,138,3874,Running,0.97,47.34,35.3,Street,94,5.67
Device_7,42:47.1,148,3963,Running,0.87,31.1,40.7,Park,80,6.16
Device_7,47:47.1,62,68,Sedentary,0.98,17,35,Park,73,3.1
Device_5,52:47.1,105,2304,Walking,1,22.9,36.3,Office,91,4.32
Device_7,57:47.1,127,3042,Running,0.89,22.9,42.4,Gym,47,5.18
Device_5,02:47.1,66,15,Sedentary,0.94,25.2,48.5,Gym,85,3.19
Device_3,07:47.1,109,2276,Walking,0.92,22.6,46.3,Home,41,4.46
Device_8,12:47.1,119,4029,Running,0.89,17,47.8,Office,96,4.85
Device_7,17:47.1,103,1464,Walking,0.87,22.7,34.4,Park,73,4.24
Device_9,22:47.1,104,1940,Walking,0.96,18,35,Park,34,4.28
Device_3,27:47.1,86,703,Walking,0.85,25.1,32.7,Park,77,3.7
Device_5,32:47.1,65,102,Sedentary,0.93,23.2,35.1,Office,75,3.16
Device_6,37:47.1,106,625,Walking,0.97,24.3,35,Home,100,4.35
Device_8,42:47.1,87,1080,Walking,0.91,21.5,35.9,Street,58,3.73
Device_7,47:47.1,112,195,Cycling,0.86,17,77.4,Park,70,4.57
Device_4,52:47.1,98,1703,Walking,0.93,22.1,46.3,Gym,39,4.07
Device_6,57:47.1,86,2782,Walking,0.9,17,33.1,Street,36,3.7
Device_9,02:47.1,75,108,Sedentary,0.96,23.5,53.7,Office,89,3.4
Device_5,07:47.1,105,1634,Walking,0.92,17,35,Gym,38,4.32
Device_6,12:47.1,109,1584,Walking,0.87,17,44.6,Office,28,4.46
Device_4,17:47.1,82,108,Walking,0.89,22.4,56.7,Gym,24,3.59
Device_8,22:47.1,57,33,Sedentary,0.98,21.2,36.2,Office,43,13.18
Device_2,27:47.1,118,178,Cycling,0.87,20.7,40,Street,55,4.81
Device_9,32:47.1,91,108,Walking,0.91,22.4,54.9,Street,54,3.85
Device_3,37:47.1,57,1732,Walking,0.98,23.3,45.4,Gym,33,13.18
Device_7,42:47.1,105,281,Cycling,0.97,21,43.9,Office,43,4.32
Device_4,47:47.1,57,51,Sedentary,0.93,17,35,Park,78,13.18
Device_1,52:47.1,57,29,Sedentary,0.95,20.3,51.9,Street,98,13.18
Device_4,57:47.1,89,2225,Walking,0.93,24.9,33.9,Office,57,3.79
Device_10,02:47.1,85,150,Cycling,0.99,17,57.9,Gym,98,3.67
Device_5,07:47.1,86,1137,Walking,0.87,17,38.2,Home,85,3.7
Device_8,12:47.1,132,10452.95,Running,0.93,17,49,Home,46,5.4
Device_9,17:47.1,105,611,Walking,0.86,21.9,51.1,Street,99,4.32
Device_4,22:47.1,76,872,Walking,0.88,23.2,53.9,Gym,56,3.43
Device_6,27:47.1,86,1621,Walking,0.95,17,36.5,Home,100,3.7
Device_4,32:47.1,113,279,Cycling,0.89,23.6,32,Home,39,4.61
Device_5,37:47.1,129,108,Cycling,0.92,24.6,56.8,Gym,77,5.27
Device_6,42:47.1,57,2775,Walking,0.96,25.2,41.2,Gym,63,13.18
Device_4,47:47.1,94,965,Walking,0.9,20.5,35.4,Street,59,3.94
Device_5,52:47.1,82,108,Sedentary,0.89,18,39.3,Street,94,3.59
Device_5,57:47.1,57,4548,Running,0.88,22.9,31.9,Home,88,13.18
Device_9,02:47.1,70,27,Sedentary,0.91,18,54.9,Office,40,3.28
Device_5,07:47.1,135,108,Running,0.93,23.6,46,Gym,33,5.53
Device_2,12:47.1,64,40,Sedentary,0.86,20.3,36.2,Office,25,3.14
Device_7,17:47.1,71,15,Sedentary,0.94,18,69.9,Park,49,3.3
Device_2,22:47.1,197.5187806,108,Sedentary,0.9,20.3,44.2,Street,94,9.05
Device_7,27:47.1,57,108,Walking,0.95,20.6,32.5,Street,36,13.18
Device_1,32:47.1,200.38,29,Sedentary,0.96,22.7,52.5,Gym,61,9.24
Device_7,37:47.1,57,108,Sedentary,0.96,24.3,30.3,Office,81,13.18
Device_1,42:47.1,143,6998.34,Running,0.86,18,35,Park,84,5.91
Device_3,47:47.1,106,2014,Walking,0.89,23.3,53.1,Street,58,4.35
Device_5,52:47.1,130,409,Cycling,0.95,21.8,47.3,Office,51,5.31
Device_4,57:47.1,303.43,124,Cycling,0.88,23.2,53.9,Gym,30,18.03
Device_10,02:47.1,135,4757,Running,0.86,24.8,42,Office,38,5.53
Device_4,07:47.1,57,462,Cycling,0.99,24.2,71.76,Park,26,13.18
Device_7,12:47.1,74,75,Sedentary,1,23.8,46.4,Home,100,3.38
Device_9,17:47.1,75,8,Sedentary,0.93,24.4,37.8,Office,39,3.4
Device_2,22:47.1,97,1478,Walking,0.91,29.4,75.1,Park,59,4.04
Device_1,27:47.1,64,34,Sedentary,0.93,25.1,57.6,Gym,32,3.14
Device_9,32:47.1,223.28,59,Sedentary,0.86,20.4,53.2,Office,79,10.88
Device_1,37:47.1,58,52,Sedentary,0.88,21.6,60,Office,51,11.55
Device_8,42:47.1,89,2416,Walking,0.91,21.8,45.1,Street,95,3.79
Device_10,47:47.1,70,64,Sedentary,0.87,20.5,52.6,Home,64,3.28
Device_1,52:47.1,263.35,1040,Walking,0.92,23,43.8,Office,39,14.18
Device_5,57:47.1,68,75,Sedentary,0.99,46.78,42.9,Gym,98,3.23
Device_9,02:47.1,98,1339,Walking,0.86,22.6,47.5,Home,64,4.07
Device_5,07:47.1,129,4404,Running,0.86,19.8,37.6,Park,92,5.27
Device_10,12:47.1,82,2284,Walking,0.86,52.83,41.1,Office,45,3.59
Device_8,17:47.1,58,229,Cycling,0.96,25.4,45.1,Gym,72,11.55
Device_3,22:47.1,152,3845,Running,1,23.2,39.7,Office,83,6.36
Device_8,27:47.1,96,118,Walking,0.86,22.7,42,Gym,57,4.01
Device_9,32:47.1,58,2229,Walking,0.93,24.6,54.2,Street,70,11.55
Device_6,37:47.1,104,186,Cycling,0.9,21.3,38.9,Street,40,4.28
Device_8,42:47.1,150,2992,Running,0.88,25.3,54.41,Park,27,6.26
Device_8,47:47.1,70,56,Sedentary,0.93,24.9,51.9,Gym,34,3.28
Device_4,52:47.1,72,118,Sedentary,0.99,26.7,42,Park,98,3.33
Device_9,57:47.1,82,2579,Walking,0.95,22.8,41.1,Office,59,3.59
Device_10,02:47.1,58,12,Sedentary,0.9,20.6,42,Home,54,11.55
Device_5,07:47.1,64,60,Sedentary,0.96,18,30.4,Office,36,3.14
Device_3,12:47.1,58,6439.41,Walking,0.98,23.4,48.1,Street,46,11.55
Device_7,17:47.1,183.21,94,Sedentary,0.95,25.7,56.9,Gym,36,8.13
