dataset,sensor,strategy,epsilon,w,P_min,P_max,delta_t,k_ext,epsilon_count,mae,normalized_mae,kl_divergence,release_rate,avg_n_tau,n_logical_timestamps
manufacturing,temperature_eps0.5,uniform,0.5,8,1,,1,0,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,1,4.0,1,0,0.0,750.7425833091287,3.7537129165456435,0.8052083317775939,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,1,8.0,1,0,0.0,375.3712916545643,1.8768564582728215,0.8052114482920871,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,1,16.0,1,0,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,2,,1,0,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,2,4.0,1,0,0.0,750.7425833091287,3.7537129165456435,0.8052083317775939,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,2,8.0,1,0,0.0,375.3712916545643,1.8768564582728215,0.8052114482920871,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,2,16.0,1,0,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,3,,1,0,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,3,4.0,1,0,0.0,750.7425833091287,3.7537129165456435,0.8052083317775939,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,3,8.0,1,0,0.0,375.3712916545643,1.8768564582728215,0.8052114482920871,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,3,16.0,1,0,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,4,,1,0,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,4,4.0,1,0,0.0,750.7425833091287,3.7537129165456435,0.8052083317775939,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,4,8.0,1,0,0.0,375.3712916545643,1.8768564582728215,0.8052114482920871,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,4,16.0,1,0,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,6,,1,0,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,6,8.0,1,0,0.0,375.3712916545643,1.8768564582728215,0.8052114482920871,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,6,16.0,1,0,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,1,,1,2,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,1,4.0,1,2,0.0,750.7425833091287,3.7537129165456435,0.8052083317775939,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,1,8.0,1,2,0.0,375.3712916545643,1.8768564582728215,0.8052114482920871,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,1,16.0,1,2,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,2,,1,2,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,2,4.0,1,2,0.0,750.7425833091287,3.7537129165456435,0.8052083317775939,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,2,8.0,1,2,0.0,375.3712916545643,1.8768564582728215,0.8052114482920871,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,2,16.0,1,2,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,3,,1,2,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,3,4.0,1,2,0.0,750.7425833091287,3.7537129165456435,0.8052083317775939,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,3,8.0,1,2,0.0,375.3712916545643,1.8768564582728215,0.8052114482920871,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,3,16.0,1,2,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,4,,1,2,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,4,4.0,1,2,0.0,750.7425833091287,3.7537129165456435,0.8052083317775939,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,4,8.0,1,2,0.0,375.3712916545643,1.8768564582728215,0.8052114482920871,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,4,16.0,1,2,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,6,,1,2,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,6,8.0,1,2,0.0,375.3712916545643,1.8768564582728215,0.8052114482920871,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,6,16.0,1,2,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,1,,1,4,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,1,4.0,1,4,0.0,750.7425833091287,3.7537129165456435,0.8052083317775939,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,1,8.0,1,4,0.0,375.3712916545643,1.8768564582728215,0.8052114482920871,1.0,10.0,1000
manufacturing,temperature_eps0.5,uniform,0.5,8,1,16.0,1,4,0.0,300.2970333236514,1.5014851666182571,0.8052097194013691,1.0,10.0,1000
