dataset,sensor,strategy,epsilon,w,P_min,P_max,delta_t,k_ext,epsilon_count,mae,normalized_mae,kl_divergence,release_rate,avg_n_tau,n_logical_timestamps
mobility,traffic_speed_eps1.0,uniform,1.0,8,1,,1,0,0.0,184.3106158009078,1.5359217983408984,0.9955827692629473,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,1,4.0,1,0,0.0,230.49966839424047,1.9208305699520039,0.8334125452629491,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,1,8.0,1,0,0.0,184.3106158009078,1.5359217983408984,0.9955827692629473,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,1,16.0,1,0,0.0,184.3106158009078,1.5359217983408984,0.9955827692629473,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,2,,1,0,0.0,184.3106158009078,1.5359217983408984,0.9955827692629473,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,2,4.0,1,0,0.0,230.49966839424047,1.9208305699520039,0.8334125452629491,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,2,8.0,1,0,0.0,184.3106158009078,1.5359217983408984,0.9955827692629473,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,2,16.0,1,0,0.0,184.3106158009078,1.5359217983408984,0.9955827692629473,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,3,,1,0,0.0,184.3106158009078,1.5359217983408984,0.9955827692629473,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,3,4.0,1,0,0.0,230.49966839424047,1.9208305699520039,0.8334125452629491,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,3,8.0,1,0,0.0,184.3106158009078,1.5359217983408984,0.9955827692629473,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,3,16.0,1,0,0.0,184.3106158009078,1.5359217983408984,0.9955827692629473,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,4,,1,0,0.0,184.3106158009078,1.5359217983408984,0.9955827692629473,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,4,4.0,1,0,0.0,230.49966839424047,1.9208305699520039,0.8334125452629491,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,4,8.0,1,0,0.0,184.3106158009078,1.5359217983408984,0.9955827692629473,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,4,16.0,1,0,0.0,184.3106158009078,1.5359217983408984,0.9955827692629473,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,6,,1,0,0.0,184.3106158009078,1.5359217983408984,0.9955827692629473,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,6,8.0,1,0,0.0,184.3106158009078,1.5359217983408984,0.9955827692629473,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,6,16.0,1,0,0.0,184.3106158009078,1.5359217983408984,0.9955827692629473,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,1,,1,2,0.0,184.3106158009078,1.5359217983408984,0.9955827692629473,1.0,5.08273381294964,834
mobility,traffic_speed_eps1.0,uniform,1.0,8,1,4.0,1,2,0.0,230.49966839424047,1.9208305699520039,0.8334125452629491,1.0,5.08273381294964,834
