dataset,sensor,strategy,epsilon,w,P_min,P_max,delta_t,k_ext,epsilon_count,mae,normalized_mae,kl_divergence,release_rate,avg_n_tau,n_logical_timestamps
pune,pm10_eps2.0,uniform,2.0,8,1,,1,0,0.0,522.4765281241467,0.5224765281241467,0.5035624661636914,1.0,7.840303115352231,3563
pune,pm10_eps2.0,uniform,2.0,8,1,4.0,1,0,0.0,992.4084998538029,0.992408499853803,0.6276419266619909,1.0,7.840303115352231,3563
pune,pm10_eps2.0,uniform,2.0,8,1,8.0,1,0,0.0,533.9311946892317,0.5339311946892317,0.5190381927984858,1.0,7.840303115352231,3563
pune,pm10_eps2.0,uniform,2.0,8,1,16.0,1,0,0.0,522.4765281241467,0.5224765281241467,0.5035624661636914,1.0,7.840303115352231,3563
pune,pm10_eps2.0,uniform,2.0,8,2,,1,0,0.0,522.4765281241467,0.5224765281241467,0.5035624661636914,1.0,7.840303115352231,3563
pune,pm10_eps2.0,uniform,2.0,8,2,4.0,1,0,0.0,992.4084998538029,0.992408499853803,0.6276419266619909,1.0,7.840303115352231,3563
pune,pm10_eps2.0,uniform,2.0,8,2,8.0,1,0,0.0,533.9311946892317,0.5339311946892317,0.5190381927984858,1.0,7.840303115352231,3563
pune,pm10_eps2.0,uniform,2.0,8,2,16.0,1,0,0.0,522.4765281241467,0.5224765281241467,0.5035624661636914,1.0,7.840303115352231,3563
pune,pm10_eps2.0,uniform,2.0,8,3,,1,0,0.0,522.4765281241467,0.5224765281241467,0.5035624661636914,1.0,7.840303115352231,3563
pune,pm10_eps2.0,uniform,2.0,8,3,4.0,1,0,0.0,992.4084998538029,0.992408499853803,0.6276419266619909,1.0,7.840303115352231,3563
pune,pm10_eps2.0,uniform,2.0,8,3,8.0,1,0,0.0,533.9311946892317,0.5339311946892317,0.5190381927984858,1.0,7.840303115352231,3563
pune,pm10_eps2.0,uniform,2.0,8,3,16.0,1,0,0.0,522.4765281241467,0.5224765281241467,0.5035624661636914,1.0,7.840303115352231,3563
pune,pm10_eps2.0,uniform,2.0,8,4,,1,0,0.0,522.4765281241467,0.5224765281241467,0.5035624661636914,1.0,7.840303115352231,3563
pune,pm10_eps2.0,uniform,2.0,8,4,4.0,1,0,0.0,992.4084998538029,0.992408499853803,0.6276419266619909,1.0,7.840303115352231,3563
pune,pm10_eps2.0,uniform,2.0,8,4,8.0,1,0,0.0,533.9311946892317,0.5339311946892317,0.5190381927984858,1.0,7.840303115352231,3563
pune,pm10_eps2.0,uniform,2.0,8,4,16.0,1,0,0.0,522.4765281241467,0.5224765281241467,0.5035624661636914,1.0,7.840303115352231,3563
