dataset,clamp_mode,sensor,subscription_level,scope,P,epsilon,w,strategy,normalized_mae_mean,normalized_mae_std,mae_mean,mae_std,rmse_mean,rmse_std,relative_error_mean,relative_error_std,kl_divergence_mean,kl_divergence_std,kl_global_utility_mean,kl_global_utility_std,release_rate_mean,release_rate_std,attribution_advantage_mean,attribution_advantage_std,eps_count_spent_mean,eps_count_spent_std,n_trials
traffic,static,speed,1,traffic,3,1.0,4,budget_absorption,0.7906577976313137,0.0800978191882642,39.53288988156568,4.004890959413211,64.59106430348747,6.303820329784013,3.0972922329585866,0.3137720945672826,0.5543499593929506,0.0836708296025385,0.7544773684389479,0.0519060926706804,0.5035714285714286,0.0439155032826839,0.1669484255975833,0.0003095601161134,0.0,0.0,6
traffic,static,speed,1,traffic,3,1.0,8,budget_absorption,1.424825698682603,0.2097560571057126,71.24128493413015,10.487802855285628,114.400353591068,12.175425627437429,5.581557006166733,0.8216902539074021,0.6178723844383529,0.0907707390145474,0.9182697098619332,0.0755527844389416,0.4803571428571428,0.0512969545979135,0.1671031903074813,0.0003412745231598,0.0,0.0,6
traffic,static,speed,1,traffic,3,1.0,10,budget_absorption,2.148834121650562,0.2234882836278353,107.44170608252811,11.174414181391768,166.38427744287753,22.241138336641686,8.41775956025945,0.8754843462133526,0.6746825982567088,0.1778015081469064,0.9068987224217708,0.1324302250765526,0.5339285714285714,0.0349744804924145,0.1669531672953951,0.0003143559648818,0.0,0.0,6
traffic,static,speed,1,traffic,3,1.0,12,budget_absorption,2.400277384077072,0.2217543750063816,120.01386920385356,11.08771875031908,188.20851546318497,19.821408390405068,9.40275365767623,0.8686919997368151,0.5729444995503851,0.089373930160515,0.945917713459311,0.1457362871982135,0.5190476190476191,0.0334775790540434,0.167039787343995,0.0002900395092309,0.0,0.0,6
traffic,static,speed,1,traffic,3,2.0,4,budget_absorption,0.3952398729255125,0.0351826185423782,19.761993646275627,1.7591309271189153,31.00262137110917,2.7995648574089538,1.5482973699053617,0.1378230271969903,0.5152977653455201,0.0788198359199307,0.7213835469747477,0.0466625316887363,0.481547619047619,0.0300014172000857,0.1671799604760601,0.0002544496381318,0.0,0.0,6
traffic,static,speed,1,traffic,3,2.0,8,budget_absorption,0.805372802672727,0.111558369157059,40.268640133636346,5.577918457852949,65.4974580890331,4.439132264193154,3.154936223771371,0.4370144344959799,0.48190326759232,0.1618063333764067,0.8611130617852446,0.0720096921463547,0.5226190476190476,0.064786409929588,0.1668481437487037,0.0002824204786574,0.0,0.0,6
traffic,static,speed,1,traffic,3,2.0,10,budget_absorption,1.0193699400025604,0.1887782791665331,50.968497000128025,9.438913958326657,83.92155156716593,13.81944199301697,3.9932403210847034,0.7395127191124458,0.5401689093774941,0.1576263242786987,0.820273950661066,0.1665819858267973,0.5041666666666667,0.0778675178757873,0.1671436431555139,0.0002406643344498,0.0,0.0,6
traffic,static,speed,1,traffic,3,2.0,12,budget_absorption,1.245225392397413,0.0779974430621508,62.26126961987065,3.899872153107539,99.29755619755724,3.798421859186744,4.877997722541614,0.3055441624818821,0.5310157799447455,0.142716913242375,0.791229609215279,0.0897372910289735,0.5267857142857143,0.03053519214257,0.1669507474455981,0.0003118832302843,0.0,0.0,6
traffic,static,speed,1,traffic,3,4.0,4,budget_absorption,0.1967095110642575,0.0263265388764304,9.835475553212875,1.3163269438215228,15.516570386907809,2.101877788617226,0.7701833018418872,0.1030771747040463,0.2968037312276018,0.1094274644912773,0.6464004298082585,0.0264079647813114,0.4383155397390272,0.0425511278476458,0.1696207962184414,0.0004333090487622,0.0,0.0,6
traffic,static,speed,1,traffic,3,4.0,8,budget_absorption,0.4023181213185567,0.0453106991660653,20.11590606592784,2.2655349583032667,32.78461911053327,3.987218115184694,1.575209543206744,0.1774064899235347,0.463571583646829,0.1566747158165138,0.7792612672383122,0.1090005589209678,0.4762752075919336,0.0306477121773756,0.169469073679268,0.0003034602625619,0.0,0.0,6
