dataset,P_scope,P_label,kl_divergence,epsilon,w,N,clamp_mode
energy,1,per-pub,0.8692054432975673,1.0,6,12,static
energy,2,P=2,0.7594099806838324,1.0,6,12,static
energy,3,P=3,0.7772928839264653,1.0,6,12,static
energy,4,P=4,0.7772838477163005,1.0,6,12,static
energy,6,P=6,0.7420645360051084,1.0,6,12,static
energy,8,P=8,0.7715174989389976,1.0,6,12,static
energy,13,global,4.561459224987092,1.0,6,12,static
manufacturing,1,per-pub,0.8329751898018435,1.0,6,10,static
manufacturing,2,P=2,0.847343761903965,1.0,6,10,static
manufacturing,3,P=3,0.862709970640638,1.0,6,10,static
manufacturing,4,P=4,0.8210166216516239,1.0,6,10,static
manufacturing,6,P=6,0.8696274360921304,1.0,6,10,static
manufacturing,8,P=8,0.8817494949887091,1.0,6,10,static
manufacturing,11,global,1.2841151890060138,1.0,6,10,static
mobility,1,per-pub,0.8297999047873624,1.0,6,16,static
mobility,2,P=2,0.717237477741878,1.0,6,16,static
mobility,3,P=3,0.6734092168395434,1.0,6,16,static
mobility,4,P=4,0.7126215381195167,1.0,6,16,static
mobility,6,P=6,0.7511302744952346,1.0,6,16,static
mobility,8,P=8,,1.0,6,16,static
mobility,17,global,0.7200540137361393,1.0,6,16,static
pune,1,per-pub,0.8481701100996694,1.0,6,10,static
pune,2,P=2,0.4875417848230199,1.0,6,10,static
pune,3,P=3,0.4790632716196845,1.0,6,10,static
pune,4,P=4,0.5299035934027616,1.0,6,10,static
pune,6,P=6,0.4921410786795915,1.0,6,10,static
pune,8,P=8,0.5040910093417452,1.0,6,10,static
pune,11,global,0.524868151896211,1.0,6,10,static
traffic,1,per-pub,0.8576897126958177,1.0,6,6,static
traffic,2,P=2,0.6706980059280805,1.0,6,6,static
traffic,3,P=3,0.6318580741080151,1.0,6,6,static
traffic,4,P=4,0.6828728636763497,1.0,6,6,static
traffic,6,P=6,0.6652180698973618,1.0,6,6,static
traffic,7,global,0.5489643862115136,1.0,6,6,static
wearable,1,per-pub,0.7940264749391198,1.0,6,10,static
wearable,2,P=2,0.2011475134583336,1.0,6,10,static
wearable,3,P=3,0.2325823509655684,1.0,6,10,static
wearable,4,P=4,0.2308147047088672,1.0,6,10,static
wearable,6,P=6,0.2212417744121246,1.0,6,10,static
wearable,8,P=8,0.2327372811071265,1.0,6,10,static
wearable,11,global,0.2348369397732745,1.0,6,10,static
