bucket,mean,std,count
per-pub,0.8692054432975673,,1
P=2,0.7594099806838324,,1
P=3,0.7772928839264653,,1
P=4,0.7772838477163005,,1
P=6,0.7420645360051084,,1
P=8,0.7715174989389976,,1
global,4.598859250484158,,1
per-pub,0.8329751898018435,,1
P=2,0.847343761903965,,1
P=3,0.862709970640638,,1
P=4,0.8210166216516239,,1
P=6,0.8696274360921304,,1
P=8,0.8817494949887091,,1
global,1.2787698612884342,,1
per-pub,0.8297999047873624,,1
P=2,0.717237477741878,,1
P=3,0.6734092168395434,,1
P=4,0.7126215381195167,,1
P=6,0.7511302744952346,,1
P=8,,,0
global,0.6976497655135271,,1
per-pub,0.8481701100996694,,1
P=2,0.4875417848230199,,1
P=3,0.4790632716196845,,1
P=4,0.5299035934027616,,1
P=6,0.4921410786795915,,1
P=8,0.5040910093417452,,1
global,0.5741776268453205,,1
per-pub,0.8576897126958177,,1
P=2,0.6706980059280805,,1
P=3,0.6318580741080151,,1
P=4,0.6828728636763497,,1
P=6,0.6652180698973618,,1
global,0.6055791970499118,,1
per-pub,0.7940264749391198,,1
P=2,0.2011475134583336,,1
P=3,0.2325823509655684,,1
P=4,0.2308147047088672,,1
P=6,0.2212417744121246,,1
P=8,0.2327372811071265,,1
global,0.220051644573619,,1
