dataset,sensor_type,payload_bound,n_publishers,epsilon,w,subscription_level,is_type_root,is_leaf,n_subscriptions_at_level,avg_pubs_per_subscription,kl_vs_type_release,nmae_vs_type_release,n_trials
energy,power_kw,50.0,12,1.0,8,1,True,False,1,12.0,0.8467533175056483,1.0227510458468496,20
energy,power_kw,50.0,12,1.0,8,2,False,False,1,12.0,0.8467533175056483,1.0227510458468496,20
energy,power_kw,50.0,12,1.0,8,3,False,False,12,1.0,0.8430742869216975,0.9699080563498619,20
energy,power_kw,50.0,12,1.0,8,4,False,True,12,1.0,0.8430742869216975,0.9699080563498619,20
energy,voltage,80.0,12,1.0,8,1,True,False,1,12.0,0.8463515879516701,0.6656100573389817,20
energy,voltage,80.0,12,1.0,8,2,False,False,1,12.0,0.8463515879516701,0.6656100573389817,20
energy,voltage,80.0,12,1.0,8,3,False,False,12,1.0,0.8463762399933903,0.6656137241561254,20
energy,voltage,80.0,12,1.0,8,4,False,True,12,1.0,0.8463762399933903,0.6656137241561254,20
energy,current,100.0,12,1.0,8,1,True,False,1,12.0,0.6964327011224992,1.5013107731379796,20
energy,current,100.0,12,1.0,8,2,False,False,1,12.0,0.6964327011224992,1.5013107731379796,20
energy,current,100.0,12,1.0,8,3,False,False,12,1.0,0.7620449696413607,1.2695347409291002,20
energy,current,100.0,12,1.0,8,4,False,True,12,1.0,0.7620449696413607,1.2695347409291002,20
