dataset,sensor_type,payload_bound,n_publishers,epsilon,w,subscription_level,is_type_root,is_leaf,n_subscriptions_at_level,avg_pubs_per_subscription,kl_vs_type_release,nmae_vs_type_release,n_trials
manufacturing,temperature,200.0,10,1.0,8,1,True,False,1,10.0,0.8724743585085587,0.8009703353306223,20
manufacturing,temperature,200.0,10,1.0,8,2,False,False,1,10.0,0.8724743585085587,0.8009703353306223,20
manufacturing,temperature,200.0,10,1.0,8,3,False,False,4,2.5,0.8724743585085587,0.8009934478079408,20
manufacturing,temperature,200.0,10,1.0,8,4,False,False,10,1.0,0.8724057316887263,0.8010303331385487,20
manufacturing,temperature,200.0,10,1.0,8,5,False,True,10,1.0,0.8724057316887263,0.8010303331385487,20
manufacturing,machine_speed,5000.0,10,1.0,8,1,True,False,1,10.0,0.8713637599255761,0.8009703353306223,20
manufacturing,machine_speed,5000.0,10,1.0,8,2,False,False,1,10.0,0.8713637599255761,0.8009703353306223,20
manufacturing,machine_speed,5000.0,10,1.0,8,3,False,False,4,2.5,0.8713637599255764,0.8009733737476921,20
manufacturing,machine_speed,5000.0,10,1.0,8,4,False,False,10,1.0,0.8713637599255764,0.8009913417936587,20
manufacturing,machine_speed,5000.0,10,1.0,8,5,False,True,10,1.0,0.8713637599255764,0.8009913417936587,20
manufacturing,quality,10.0,10,1.0,8,1,True,False,1,10.0,0.8695293849480151,0.8009703353306223,20
manufacturing,quality,10.0,10,1.0,8,2,False,False,1,10.0,0.8695293849480151,0.8009703353306223,20
manufacturing,quality,10.0,10,1.0,8,3,False,False,4,2.5,0.8542386618175872,0.8011607864120878,20
manufacturing,quality,10.0,10,1.0,8,4,False,False,10,1.0,0.8260650388086365,0.8014616975743558,20
manufacturing,quality,10.0,10,1.0,8,5,False,True,10,1.0,0.8260650388086365,0.8014616975743558,20
manufacturing,vibration,1.0,10,1.0,8,1,True,False,1,10.0,0.8740046112926241,0.8009703353306223,20
manufacturing,vibration,1.0,10,1.0,8,2,False,False,1,10.0,0.8740046112926241,0.8009703353306223,20
manufacturing,vibration,1.0,10,1.0,8,3,False,False,4,2.5,0.8732399684229902,0.8010502909888197,20
manufacturing,vibration,1.0,10,1.0,8,4,False,False,10,1.0,0.8617940708207935,0.8012251457877896,20
manufacturing,vibration,1.0,10,1.0,8,5,False,True,10,1.0,0.8617940708207935,0.8012251457877896,20
manufacturing,energy,10.0,10,1.0,8,1,True,False,1,10.0,0.8724576922878701,0.8009703353306223,20
manufacturing,energy,10.0,10,1.0,8,2,False,False,1,10.0,0.8724576922878701,0.8009703353306223,20
manufacturing,energy,10.0,10,1.0,8,3,False,False,4,2.5,0.8604989692315798,0.8011471240826387,20
manufacturing,energy,10.0,10,1.0,8,4,False,False,10,1.0,0.8321890204612464,0.8014468748858623,20
manufacturing,energy,10.0,10,1.0,8,5,False,True,10,1.0,0.8321890204612464,0.8014468748858623,20
