regime,sensor,kl_divergence,P_our
Extreme 1 (global average),temperature,0.9003403804551505,4
Extreme 1 (global average),machine_speed,1.7070595023507757,4
Extreme 1 (global average),quality,0.9003403804551505,4
Extreme 1 (global average),vibration,0.9003403804551505,4
Extreme 1 (global average),energy,0.9003403804551505,4
Extreme 2 (per-publisher),temperature,0.8344149783281022,4
Extreme 2 (per-publisher),machine_speed,0.8345647263616988,4
Extreme 2 (per-publisher),quality,0.827287413360594,4
Extreme 2 (per-publisher),vibration,0.8310616987762642,4
Extreme 2 (per-publisher),energy,0.8301943004872185,4
Our approach (P=4 topic pool),temperature,0.47257615311761836,4
Our approach (P=4 topic pool),machine_speed,0.3610227111207178,4
Our approach (P=4 topic pool),quality,0.6020256061976236,4
Our approach (P=4 topic pool),vibration,0.2881106132962184,4
Our approach (P=4 topic pool),energy,0.27435718149162436,4
