dataset,sensor_type,payload_bound,n_publishers,epsilon,w,subscription_level,is_type_root,is_leaf,n_subscriptions_at_level,avg_pubs_per_subscription,kl_vs_type_release,nmae_vs_type_release,n_trials
mobility,traffic_speed,120.0,16,1.0,8,1,True,False,1,16.0,0.7279022124668197,1.6200528016877882,20
mobility,traffic_speed,120.0,16,1.0,8,2,False,False,1,16.0,0.7279022124668197,1.6200528016877882,20
mobility,traffic_speed,120.0,16,1.0,8,3,False,False,4,4.0,0.6915077632326702,1.6022343778288495,20
mobility,traffic_speed,120.0,16,1.0,8,4,False,False,16,1.0,0.6877569733674688,1.5829688114279947,20
mobility,traffic_speed,120.0,16,1.0,8,5,False,True,16,1.0,0.6877569733674688,1.5829688114279947,20
mobility,vehicle_count,500.0,16,1.0,8,1,True,False,1,16.0,0.7128144759832704,1.6200528016877882,20
mobility,vehicle_count,500.0,16,1.0,8,2,False,False,1,16.0,0.7128144759832704,1.6200528016877882,20
mobility,vehicle_count,500.0,16,1.0,8,3,False,False,4,4.0,0.6989670234161395,1.6011422670814155,20
mobility,vehicle_count,500.0,16,1.0,8,4,False,False,16,1.0,0.7020394743871264,1.5818209350219696,20
mobility,vehicle_count,500.0,16,1.0,8,5,False,True,16,1.0,0.7020394743871264,1.5818209350219696,20
mobility,road_occupancy,100.0,16,1.0,8,1,True,False,1,16.0,0.7162257031462969,1.6200528016877882,20
mobility,road_occupancy,100.0,16,1.0,8,2,False,False,1,16.0,0.7162257031462969,1.6200528016877882,20
mobility,road_occupancy,100.0,16,1.0,8,3,False,False,4,4.0,0.6292544649175218,1.607219359816105,20
mobility,road_occupancy,100.0,16,1.0,8,4,False,False,16,1.0,0.6375382833590525,1.5909179310624615,20
mobility,road_occupancy,100.0,16,1.0,8,5,False,True,16,1.0,0.6375382833590525,1.5909179310624615,20
mobility,emission,800.0,16,1.0,8,1,True,False,1,16.0,0.7261619473709433,1.6200528016877882,20
mobility,emission,800.0,16,1.0,8,2,False,False,1,16.0,0.7261619473709433,1.6200528016877882,20
mobility,emission,800.0,16,1.0,8,3,False,False,4,4.0,0.7221544254918605,1.600904588578965,20
mobility,emission,800.0,16,1.0,8,4,False,False,16,1.0,0.7023066501938985,1.5814983057350436,20
mobility,emission,800.0,16,1.0,8,5,False,True,16,1.0,0.7023066501938985,1.5814983057350436,20
