dataset,sensor_type,payload_bound,n_publishers,epsilon,w,subscription_level,is_type_root,is_leaf,n_subscriptions_at_level,avg_pubs_per_subscription,kl_vs_type_release,nmae_vs_type_release,n_trials
pune,pm10,1000.0,10,1.0,8,1,True,False,1,10.0,0.5907078193242865,1.0561555569358185,20
pune,pm10,1000.0,10,1.0,8,2,False,False,1,10.0,0.5907078193242865,1.0561555569358185,20
pune,pm10,1000.0,10,1.0,8,3,False,False,10,1.0,0.7654726818198461,1.0021105379390343,20
pune,pm10,1000.0,10,1.0,8,4,False,True,10,1.0,0.7654726818198461,1.0021105379390343,20
pune,pm2,500.0,10,1.0,8,1,True,False,1,10.0,0.5910419691485624,1.0561555569358185,20
pune,pm2,500.0,10,1.0,8,2,False,False,1,10.0,0.5910419691485624,1.0561555569358185,20
pune,pm2,500.0,10,1.0,8,3,False,False,10,1.0,0.7648638506397731,1.0021239556467065,20
pune,pm2,500.0,10,1.0,8,4,False,True,10,1.0,0.7648638506397731,1.0021239556467065,20
pune,humidity,100.0,10,1.0,8,1,True,False,1,10.0,0.41750171010970105,1.0867754602335586,20
pune,humidity,100.0,10,1.0,8,2,False,False,1,10.0,0.41750171010970105,1.0867754602335586,20
pune,humidity,100.0,10,1.0,8,3,False,False,10,1.0,0.5525629131368012,1.0204523578995295,20
pune,humidity,100.0,10,1.0,8,4,False,True,10,1.0,0.5525629131368012,1.0204523578995295,20
pune,sound,120.0,10,1.0,8,1,True,False,1,10.0,0.4879285498349023,1.0867385323637775,20
pune,sound,120.0,10,1.0,8,2,False,False,1,10.0,0.4879285498349023,1.0867385323637775,20
pune,sound,120.0,10,1.0,8,3,False,False,10,1.0,0.7357176673026783,1.0215072599362083,20
pune,sound,120.0,10,1.0,8,4,False,True,10,1.0,0.7357176673026783,1.0215072599362083,20
pune,ozone,500.0,10,1.0,8,1,True,False,1,10.0,0.5168285125001191,1.032646548481243,20
pune,ozone,500.0,10,1.0,8,2,False,False,1,10.0,0.5168285125001191,1.032646548481243,20
pune,ozone,500.0,10,1.0,8,3,False,False,10,1.0,0.735009735483128,0.9807817186753275,20
pune,ozone,500.0,10,1.0,8,4,False,True,10,1.0,0.735009735483128,0.9807817186753275,20
