publisher_id,t,true,noisy
BopadiSquare_65,0,35.0,-8500.114789737878
BopadiSquare_65,1,35.25,-12.621727222970755
BopadiSquare_65,2,35.5,1172.6810158041662
BopadiSquare_65,3,35.0,1900.5577680711776
BopadiSquare_65,4,35.0,3531.4889640180727
BopadiSquare_65,5,35.0,970.2807011779705
BopadiSquare_65,6,0.0,970.2807011779705
BopadiSquare_65,7,0.0,970.2807011779705
BopadiSquare_65,8,34.75,5088.584102610677
BopadiSquare_65,9,34.5,-4256.078261495
BopadiSquare_65,10,34.5,-10785.109890976279
BopadiSquare_65,11,34.5,-13834.710589249653
BopadiSquare_65,12,34.5,-18358.38672490809
BopadiSquare_65,13,34.5,-4713.311657662743
BopadiSquare_65,14,34.5,-559.9682516812975
BopadiSquare_65,15,34.5,-2714.5256235416864
BopadiSquare_65,16,34.5,-19806.98237403937
BopadiSquare_65,17,34.5,16141.308575428577
BopadiSquare_65,18,34.25,454.09754231371477
BopadiSquare_65,19,34.0,-3203.41590778882
BopadiSquare_65,20,34.0,254.83133834217398
BopadiSquare_65,21,34.0,4681.321740517791
BopadiSquare_65,22,34.0,18517.102986668648
BopadiSquare_65,23,34.25,-22012.700255635667
BopadiSquare_65,24,34.5,11761.496939624927
BopadiSquare_65,25,34.5,-6253.369056874527
BopadiSquare_65,26,34.5,4249.080124975976
BopadiSquare_65,27,35.0,-8289.067113763107
BopadiSquare_65,28,35.0,4669.647089922453
BopadiSquare_65,29,35.0,2904.3923100381808
BopadiSquare_65,30,35.0,-25817.33126301774
BopadiSquare_65,31,35.25,-867.5094920104581
BopadiSquare_65,32,35.5,-18145.695953118513
BopadiSquare_65,33,35.5,7897.25995351023
BopadiSquare_65,34,35.5,9254.971031067327
BopadiSquare_65,35,35.5,842.2069212897321
BopadiSquare_65,36,35.5,-15560.824623150509
BopadiSquare_65,37,35.5,25700.959125989564
BopadiSquare_65,38,35.5,4344.910757899504
BopadiSquare_65,39,35.5,-9076.325727031563
BopadiSquare_65,40,35.75,-6306.828883115754
BopadiSquare_65,41,36.0,5691.228196530527
BopadiSquare_65,42,36.25,-24420.119161288494
BopadiSquare_65,43,36.5,11889.021856356827
BopadiSquare_65,44,36.5,2327.530636398067
BopadiSquare_65,45,36.5,-3295.0203385051695
BopadiSquare_65,46,36.5,2410.1215234598917
BopadiSquare_65,47,36.5,18596.12236050716
BopadiSquare_65,48,36.25,-1723.5612337743808
BopadiSquare_65,49,35.833333333333336,14555.165039388621
BopadiSquare_65,50,35.0,-2257.3583368663417
BopadiSquare_65,51,34.75,2581.408260266547
BopadiSquare_65,52,34.5,11752.891183301263
BopadiSquare_65,53,34.5,-12884.095489796506
BopadiSquare_65,54,34.5,-3358.9383806312276
BopadiSquare_65,55,34.5,280.8543235835041
BopadiSquare_65,56,34.5,11485.698344127248
BopadiSquare_65,57,34.5,4919.168354246255
BopadiSquare_65,58,34.5,35868.858529863166
BopadiSquare_65,59,34.5,-2598.053509091228
BopadiSquare_65,60,34.333333333333336,16106.923941240206
BopadiSquare_65,61,34.0,-2409.5511445829607
BopadiSquare_65,62,34.0,-7250.431661314661
BopadiSquare_65,63,34.0,19618.978891114057
BopadiSquare_65,64,34.0,-18474.329768028623
BopadiSquare_65,65,34.0,13791.614051954537
BopadiSquare_65,66,33.75,-402.66304115473844
BopadiSquare_65,67,33.5,-7606.962604903922
BopadiSquare_65,68,33.166666666666664,-5609.825442983939
BopadiSquare_65,69,33.0,-69.74095086000315
BopadiSquare_65,70,33.0,6809.490217473632
BopadiSquare_65,71,33.0,-3786.841364370212
BopadiSquare_65,72,33.0,-2544.993671367599
BopadiSquare_65,73,33.0,20494.575666941386
BopadiSquare_65,74,33.0,9952.857308863468
BopadiSquare_65,75,33.0,11076.883856083363
BopadiSquare_65,76,33.0,-5609.820979883586
BopadiSquare_65,77,33.0,-2532.1235322161583
BopadiSquare_65,78,33.0,-8459.503504333949
BopadiSquare_65,79,33.0,40247.67692603577
BopadiSquare_65,80,33.0,-219.3679683508095
BopadiSquare_65,81,33.75,16717.2397769302
BopadiSquare_65,82,34.25,-6081.974014884832
BopadiSquare_65,83,34.5,-651.048007906899
BopadiSquare_65,84,34.5,-8966.119489511932
BopadiSquare_65,85,34.5,29660.953605281116
BopadiSquare_65,86,34.25,12237.068580402589
BopadiSquare_65,87,34.0,-8981.415230668705
BopadiSquare_65,88,33.75,-16606.16983038284
BopadiSquare_65,89,33.5,-6067.715854396035
BopadiSquare_65,90,33.5,5851.077973457161
BopadiSquare_65,91,33.5,-23350.983507729747
BopadiSquare_65,92,33.5,344.6059566174708
BopadiSquare_65,93,33.5,8486.874391184781
BopadiSquare_65,94,33.5,-9310.820539811368
BopadiSquare_65,95,33.5,-872.1295373182426
BopadiSquare_65,96,33.25,5497.887536311016
BopadiSquare_65,97,33.0,74.26448168137068
BopadiSquare_65,98,33.0,695.9978111525809
BopadiSquare_65,99,33.0,10550.927307664106
BopadiSquare_65,100,33.0,-1596.4853948607833
BopadiSquare_65,101,32.75,-13782.557041269194
BopadiSquare_65,102,32.5,-5107.096050793949
BopadiSquare_65,103,32.5,7287.581389098055
BopadiSquare_65,104,32.5,-4882.710826028834
BopadiSquare_65,105,32.5,-5351.796551432859
BopadiSquare_65,106,32.25,87.20675142486786
BopadiSquare_65,107,32.0,7637.666712394645
BopadiSquare_65,108,32.0,-17040.64754942678
BopadiSquare_65,109,31.75,-2349.3321329924015
BopadiSquare_65,110,31.5,-18467.822380661073
BopadiSquare_65,111,31.5,-5646.591305866603
BopadiSquare_65,112,31.5,-457.67168436902625
BopadiSquare_65,113,31.5,-7977.931368592944
BopadiSquare_65,114,31.5,-2099.9127158809715
BopadiSquare_65,115,31.5,7399.848622699332
BopadiSquare_65,116,31.5,-5072.135891332052
