strategy,greedy_P,greedy_loss,greedy_nmae,greedy_kl,greedy_release_rate,greedy_evaluations,greedy_seed_P,greedy_n_restarts,greedy_restart_seeds_P,brute_P,brute_loss,brute_nmae,brute_kl,brute_release_rate,brute_evaluations,gap_loss,gap_P,speedup,dataset,sensor,clamp_mode
uniform,8,0.7584638364942083,0.7573633779698232,0.945539369534154,0.9944977073780742,6,4,2,4;8,12,0.7584638364942083,0.7573633779698232,0.945539369534154,0.9944977073780742,12,0.0,-4,2.0,energy,power_kw,static
sample,8,0.2926212754766325,0.1257739779915693,0.7203195838539411,0.1657635125746838,6,4,2,4;8,12,0.2926212754766325,0.1257739779915693,0.7203195838539411,0.1657635125746838,12,0.0,-4,2.0,energy,power_kw,static
budget_distribution,8,1.2447622608834157,1.1698977339972132,0.4146054798042249,0.6256773655689871,6,4,2,4;8,12,1.2447622608834157,1.1698977339972132,0.4146054798042249,0.6256773655689871,12,0.0,-4,2.0,energy,power_kw,static
budget_absorption,8,0.9790536857479696,0.8777059019491644,0.5658762407195577,0.4932610810059747,6,4,2,4;8,12,0.9790536857479696,0.8777059019491644,0.5658762407195577,0.4932610810059747,12,0.0,-4,2.0,energy,power_kw,static
p_gated_uniform,12,0.4841331597039665,0.3665786230914891,0.4112811492054597,0.4122273169376129,16,4,2,4;8,12,0.4841331597039665,0.3665786230914891,0.4112811492054597,0.4122273169376129,12,0.0,0,0.75,energy,power_kw,static
p_gated_sample,12,0.2463031412323887,0.0600811042725442,0.7269972441192553,0.0688898152007781,16,4,2,4;8,12,0.2463031412323887,0.0600811042725442,0.7269972441192553,0.0688898152007781,12,0.0,0,0.75,energy,power_kw,static
p_gated_ba,12,0.5320287486618618,0.3693943176489397,0.3474695430656716,0.1868278449353897,16,4,2,4;8,12,0.5320287486618618,0.3693943176489397,0.3474695430656716,0.1868278449353897,12,0.0,0,0.75,energy,power_kw,static
n_weighted,12,0.4918593718680302,0.3740714046594711,0.0808217763765163,0.4110601639572044,16,4,2,4;8,12,0.4918593718680302,0.3740714046594711,0.0808217763765163,0.4110601639572044,12,0.0,0,0.75,energy,power_kw,static
uniform,10,0.5630569374818464,0.5630569374818464,0.809761766046773,1.0,5,4,2,4;10,10,0.5630569374818464,0.5630569374818464,0.809761766046773,1.0,10,0.0,0,2.0,manufacturing,temperature,static
sample,10,0.2655687884942712,0.0989687884942711,0.8130471354452724,0.167,5,4,2,4;10,10,0.2655687884942712,0.0989687884942711,0.8130471354452724,0.167,10,0.0,0,2.0,manufacturing,temperature,static
budget_distribution,10,0.9750880660820892,0.9026880660820892,0.7782833512268217,0.638,5,4,2,4;10,10,0.9750880660820892,0.9026880660820892,0.7782833512268217,0.638,10,0.0,0,2.0,manufacturing,temperature,static
budget_absorption,10,0.8219321957518948,0.7247321957518948,0.4690139203839542,0.514,5,4,2,4;10,10,0.8219321957518948,0.7247321957518948,0.4690139203839542,0.514,10,0.0,0,2.0,manufacturing,temperature,static
p_gated_uniform,10,0.5092172433591596,0.4088172433591596,0.4845620897012074,0.498,10,4,2,4;10,10,0.5092172433591596,0.4088172433591596,0.4845620897012074,0.498,10,0.0,0,1.0,manufacturing,temperature,static
p_gated_sample,10,0.2575988039898067,0.0743988039898067,0.8904400390809976,0.084,6,4,2,4;10,10,0.2575988039898067,0.0743988039898067,0.8904400390809976,0.084,10,0.0,0,1.6666666666666667,manufacturing,temperature,static
p_gated_ba,10,0.5455961387106578,0.3913961387106577,0.1871857698220544,0.229,10,4,2,4;10,10,0.5455961387106578,0.3913961387106577,0.1871857698220544,0.229,10,0.0,0,1.0,manufacturing,temperature,static
n_weighted,9,0.5125193784418399,0.4183193784418399,0.7370282835965714,0.529,11,4,2,4;10,9,0.5125193784418399,0.4183193784418399,0.7370282835965714,0.529,10,0.0,0,0.9090909090909092,manufacturing,temperature,static
uniform,5,1.151941348755674,1.151941348755674,0.982414167148568,1.0,6,4,2,4;5,6,1.151941348755674,1.151941348755674,0.982414167148568,1.0,6,0.0,-1,1.0,mobility,traffic_speed,static
sample,5,0.3733929108428467,0.2067262441761801,0.5204939909497053,0.1666666666666666,6,4,2,4;5,6,0.3733929108428467,0.2067262441761801,0.5204939909497053,0.1666666666666666,6,0.0,-1,1.0,mobility,traffic_speed,static
budget_distribution,5,1.916562317872272,1.847977185977788,0.4203749132083698,0.657074340527578,6,4,2,4;5,6,1.916562317872272,1.847977185977788,0.4203749132083698,0.657074340527578,6,0.0,-1,1.0,mobility,traffic_speed,static
budget_absorption,5,1.665605692152326,1.5725601286031654,0.6281999469901033,0.5347721822541966,6,4,2,4;5,6,1.665605692152326,1.5725601286031654,0.6281999469901033,0.5347721822541966,6,0.0,-1,1.0,mobility,traffic_speed,static
p_gated_uniform,6,0.7063816859828874,0.6018253310668202,0.4923303749975543,0.4772182254196642,7,4,2,4;5,6,0.7063816859828874,0.6018253310668202,0.4923303749975543,0.4772182254196642,6,0.0,0,0.8571428571428571,mobility,traffic_speed,static
p_gated_sample,6,0.3321330632786048,0.1474807851011467,0.2987387399629859,0.0767386091127098,7,4,2,4;5,6,0.3321330632786048,0.1474807851011467,0.2987387399629859,0.0767386091127098,6,0.0,0,0.8571428571428571,mobility,traffic_speed,static
p_gated_ba,6,0.7122056579260806,0.5548915092450254,0.1549760928588435,0.2134292565947242,7,4,2,4;5,6,0.7122056579260806,0.5548915092450254,0.1549760928588435,0.2134292565947242,6,0.0,0,0.8571428571428571,mobility,traffic_speed,static
n_weighted,6,0.7116956081190962,0.607139253203029,0.5218763370691574,0.4772182254196642,7,4,2,4;5,6,0.7116956081190962,0.607139253203029,0.5218763370691574,0.4772182254196642,6,0.0,0,0.8571428571428571,mobility,traffic_speed,static
