P,strategy,normalized_mae,kl_divergence,release_rate,attribution_advantage,tuning_loss,avg_n_tau,pr_n_ge_P,deferrals,evaluated,iter,action,restart_idx
4,uniform,0.5630569374818464,0.809761766046773,1.0,0.10000000000000002,0.5630569374818464,10.0,1.0,0,True,0,seed,0
3,uniform,0.5630569374818464,0.809761766046773,1.0,0.10000000000000002,0.5630569374818464,10.0,1.0,0,True,1,probe_P=3,0
5,uniform,0.5630569374818464,0.809761766046773,1.0,0.10000000000000002,0.5630569374818464,10.0,1.0,0,True,1,probe_P=5,0
4,uniform,0.5630569374818464,0.809761766046773,1.0,0.10000000000000002,0.5630569374818464,10.0,1.0,0,True,1,stop_local_optimum,0
10,uniform,0.5630569374818464,0.809761766046773,1.0,0.10000000000000002,0.5630569374818464,10.0,1.0,0,True,0,r1_seed,1
9,uniform,0.5630569374818464,0.809761766046773,1.0,0.10000000000000002,0.5630569374818464,10.0,1.0,0,True,1,r1_probe_P=9,1
10,uniform,0.5630569374818464,0.809761766046773,1.0,0.10000000000000002,0.5630569374818464,10.0,1.0,0,True,1,r1_stop_local_optimum,1
4,sample,0.09896878849427118,0.8130471354452724,0.167,0.09999999999999998,0.2655687884942712,10.0,1.0,833,True,0,seed,0
3,sample,0.09896878849427118,0.8130471354452724,0.167,0.09999999999999998,0.2655687884942712,10.0,1.0,833,True,1,probe_P=3,0
5,sample,0.09896878849427118,0.8130471354452724,0.167,0.09999999999999998,0.2655687884942712,10.0,1.0,833,True,1,probe_P=5,0
4,sample,0.09896878849427118,0.8130471354452724,0.167,0.09999999999999998,0.2655687884942712,10.0,1.0,833,True,1,stop_local_optimum,0
10,sample,0.09896878849427118,0.8130471354452724,0.167,0.09999999999999998,0.2655687884942712,10.0,1.0,833,True,0,r1_seed,1
9,sample,0.09896878849427118,0.8130471354452724,0.167,0.09999999999999998,0.2655687884942712,10.0,1.0,833,True,1,r1_probe_P=9,1
10,sample,0.09896878849427118,0.8130471354452724,0.167,0.09999999999999998,0.2655687884942712,10.0,1.0,833,True,1,r1_stop_local_optimum,1
4,budget_distribution,0.9026880660820893,0.7782833512268217,0.638,0.09999999999999998,0.9750880660820893,10.0,1.0,362,True,0,seed,0
3,budget_distribution,0.9026880660820893,0.7782833512268217,0.638,0.09999999999999998,0.9750880660820893,10.0,1.0,362,True,1,probe_P=3,0
5,budget_distribution,0.9026880660820893,0.7782833512268217,0.638,0.09999999999999998,0.9750880660820893,10.0,1.0,362,True,1,probe_P=5,0
4,budget_distribution,0.9026880660820893,0.7782833512268217,0.638,0.09999999999999998,0.9750880660820893,10.0,1.0,362,True,1,stop_local_optimum,0
10,budget_distribution,0.9026880660820893,0.7782833512268217,0.638,0.09999999999999998,0.9750880660820893,10.0,1.0,362,True,0,r1_seed,1
9,budget_distribution,0.9026880660820893,0.7782833512268217,0.638,0.09999999999999998,0.9750880660820893,10.0,1.0,362,True,1,r1_probe_P=9,1
10,budget_distribution,0.9026880660820893,0.7782833512268217,0.638,0.09999999999999998,0.9750880660820893,10.0,1.0,362,True,1,r1_stop_local_optimum,1
4,budget_absorption,0.7247321957518948,0.4690139203839542,0.514,0.1,0.8219321957518948,10.0,1.0,486,True,0,seed,0
3,budget_absorption,0.7247321957518948,0.4690139203839542,0.514,0.1,0.8219321957518948,10.0,1.0,486,True,1,probe_P=3,0
5,budget_absorption,0.7247321957518948,0.4690139203839542,0.514,0.1,0.8219321957518948,10.0,1.0,486,True,1,probe_P=5,0
4,budget_absorption,0.7247321957518948,0.4690139203839542,0.514,0.1,0.8219321957518948,10.0,1.0,486,True,1,stop_local_optimum,0
10,budget_absorption,0.7247321957518948,0.4690139203839542,0.514,0.1,0.8219321957518948,10.0,1.0,486,True,0,r1_seed,1
9,budget_absorption,0.7247321957518948,0.4690139203839542,0.514,0.1,0.8219321957518948,10.0,1.0,486,True,1,r1_probe_P=9,1
10,budget_absorption,0.7247321957518948,0.4690139203839542,0.514,0.1,0.8219321957518948,10.0,1.0,486,True,1,r1_stop_local_optimum,1
4,p_gated_uniform,0.5630569374818464,0.809761766046773,1.0,0.10000000000000002,0.5630569374818464,10.0,1.0,0,True,0,seed,0
3,p_gated_uniform,0.5630569374818464,0.809761766046773,1.0,0.10000000000000002,0.5630569374818464,10.0,1.0,0,True,1,probe_P=3,0
5,p_gated_uniform,0.5630569374818464,0.809761766046773,1.0,0.10000000000000002,0.5630569374818464,10.0,1.0,0,True,1,probe_P=5,0
4,p_gated_uniform,0.5630569374818464,0.809761766046773,1.0,0.10000000000000002,0.5630569374818464,10.0,1.0,0,True,1,stop_local_optimum,0
10,p_gated_uniform,0.5630569374818464,0.809761766046773,1.0,0.10000000000000002,0.5630569374818464,10.0,1.0,0,True,0,r1_seed,1
9,p_gated_uniform,0.5630569374818464,0.809761766046773,1.0,0.10000000000000002,0.5630569374818464,10.0,1.0,0,True,1,r1_probe_P=9,1
10,p_gated_uniform,0.5630569374818464,0.809761766046773,1.0,0.10000000000000002,0.5630569374818464,10.0,1.0,0,True,1,r1_stop_local_optimum,1
4,p_gated_sample,0.09896878849427118,0.8130471354452724,0.167,0.09999999999999998,0.2655687884942712,10.0,1.0,833,True,0,seed,0
3,p_gated_sample,0.09896878849427118,0.8130471354452724,0.167,0.09999999999999998,0.2655687884942712,10.0,1.0,833,True,1,probe_P=3,0
5,p_gated_sample,0.09896878849427118,0.8130471354452724,0.167,0.09999999999999998,0.2655687884942712,10.0,1.0,833,True,1,probe_P=5,0
4,p_gated_sample,0.09896878849427118,0.8130471354452724,0.167,0.09999999999999998,0.2655687884942712,10.0,1.0,833,True,1,stop_local_optimum,0
10,p_gated_sample,0.09896878849427118,0.8130471354452724,0.167,0.09999999999999998,0.2655687884942712,10.0,1.0,833,True,0,r1_seed,1
9,p_gated_sample,0.09896878849427118,0.8130471354452724,0.167,0.09999999999999998,0.2655687884942712,10.0,1.0,833,True,1,r1_probe_P=9,1
10,p_gated_sample,0.09896878849427118,0.8130471354452724,0.167,0.09999999999999998,0.2655687884942712,10.0,1.0,833,True,1,r1_stop_local_optimum,1
4,p_gated_ba,0.7247321957518948,0.4690139203839542,0.514,0.1,0.8219321957518948,10.0,1.0,486,True,0,seed,0
3,p_gated_ba,0.7247321957518948,0.4690139203839542,0.514,0.1,0.8219321957518948,10.0,1.0,486,True,1,probe_P=3,0
5,p_gated_ba,0.7247321957518948,0.4690139203839542,0.514,0.1,0.8219321957518948,10.0,1.0,486,True,1,probe_P=5,0
4,p_gated_ba,0.7247321957518948,0.4690139203839542,0.514,0.1,0.8219321957518948,10.0,1.0,486,True,1,stop_local_optimum,0
10,p_gated_ba,0.7247321957518948,0.4690139203839542,0.514,0.1,0.8219321957518948,10.0,1.0,486,True,0,r1_seed,1
