P,strategy,normalized_mae,kl_divergence,release_rate,attribution_advantage,tuning_loss,avg_n_tau,pr_n_ge_P,deferrals,evaluated,iter,action,restart_idx
4,uniform,1.151941348755674,0.9824141671485681,1.0,0.20261790567545965,1.151941348755674,5.08273381294964,0.9676258992805755,0,True,0,seed,0
3,uniform,1.151941348755674,0.9824141671485681,1.0,0.20261790567545965,1.151941348755674,5.08273381294964,0.9988009592326139,0,True,1,probe_P=3,0
5,uniform,1.151941348755674,0.9824141671485681,1.0,0.20261790567545965,1.151941348755674,5.08273381294964,0.7841726618705036,0,True,1,probe_P=5,0
4,uniform,1.151941348755674,0.9824141671485681,1.0,0.20261790567545965,1.151941348755674,5.08273381294964,0.9676258992805755,0,True,1,stop_local_optimum,0
5,uniform,1.151941348755674,0.9824141671485681,1.0,0.20261790567545965,1.151941348755674,5.08273381294964,0.7841726618705036,0,True,0,r1_seed,1
4,uniform,1.151941348755674,0.9824141671485681,1.0,0.20261790567545965,1.151941348755674,5.08273381294964,0.9676258992805755,0,True,1,r1_probe_P=4,1
6,uniform,1.151941348755674,0.9824141671485681,1.0,0.20261790567545965,1.151941348755674,5.08273381294964,0.33213429256594723,0,True,1,r1_probe_P=6,1
5,uniform,1.151941348755674,0.9824141671485681,1.0,0.20261790567545965,1.151941348755674,5.08273381294964,0.7841726618705036,0,True,1,r1_stop_local_optimum,1
4,sample,0.2067262441761801,0.5204939909497053,0.16666666666666666,0.1988009592326139,0.37339291084284676,5.08273381294964,0.9676258992805755,695,True,0,seed,0
3,sample,0.2067262441761801,0.5204939909497053,0.16666666666666666,0.1988009592326139,0.37339291084284676,5.08273381294964,0.9988009592326139,695,True,1,probe_P=3,0
5,sample,0.2067262441761801,0.5204939909497053,0.16666666666666666,0.1988009592326139,0.37339291084284676,5.08273381294964,0.7841726618705036,695,True,1,probe_P=5,0
4,sample,0.2067262441761801,0.5204939909497053,0.16666666666666666,0.1988009592326139,0.37339291084284676,5.08273381294964,0.9676258992805755,695,True,1,stop_local_optimum,0
5,sample,0.2067262441761801,0.5204939909497053,0.16666666666666666,0.1988009592326139,0.37339291084284676,5.08273381294964,0.7841726618705036,695,True,0,r1_seed,1
