P,strategy,normalized_mae,kl_divergence,release_rate,attribution_advantage,tuning_loss,avg_n_tau,pr_n_ge_P,deferrals,evaluated
1,uniform,0.7837147921862203,0.5063664496651339,1.0,0.13239044144180265,0.7837147921862203,7.840303115352231,1.0,0,True
2,uniform,0.7837147921862203,0.5063664496651339,1.0,0.13239044144180265,0.7837147921862203,7.840303115352231,0.9994386752736458,0,True
3,uniform,0.7837147921862203,0.5063664496651339,1.0,0.13239044144180265,0.7837147921862203,7.840303115352231,0.9980353634577603,0,True
4,uniform,0.7837147921862203,0.5063664496651339,1.0,0.13239044144180265,0.7837147921862203,7.840303115352231,0.9789503227617177,0,True
5,uniform,0.7837147921862203,0.5063664496651339,1.0,0.13239044144180265,0.7837147921862203,7.840303115352231,0.9744597249508841,0,True
6,uniform,0.7837147921862203,0.5063664496651339,1.0,0.13239044144180265,0.7837147921862203,7.840303115352231,0.9666011787819253,0,True
7,uniform,0.7837147921862203,0.5063664496651339,1.0,0.13239044144180265,0.7837147921862203,7.840303115352231,0.9393769295537469,0,True
8,uniform,0.7837147921862203,0.5063664496651339,1.0,0.13239044144180265,0.7837147921862203,7.840303115352231,0.7569463934886331,0,True
9,uniform,0.7837147921862203,0.5063664496651339,1.0,0.13239044144180265,0.7837147921862203,7.840303115352231,0.22649452708391804,0,True
1,sample,0.12745255031398275,0.8139372529105371,0.16671344372719618,0.13205534177756398,0.2941098615685435,7.840303115352231,1.0,2969,True
2,sample,0.12745255031398275,0.8139372529105371,0.16671344372719618,0.13205534177756398,0.2941098615685435,7.840303115352231,0.9994386752736458,2969,True
3,sample,0.12745255031398275,0.8139372529105371,0.16671344372719618,0.13205534177756398,0.2941098615685435,7.840303115352231,0.9980353634577603,2969,True
4,sample,0.12745255031398275,0.8139372529105371,0.16671344372719618,0.13205534177756398,0.2941098615685435,7.840303115352231,0.9789503227617177,2969,True
5,sample,0.12745255031398275,0.8139372529105371,0.16671344372719618,0.13205534177756398,0.2941098615685435,7.840303115352231,0.9744597249508841,2969,True
6,sample,0.12745255031398275,0.8139372529105371,0.16671344372719618,0.13205534177756398,0.2941098615685435,7.840303115352231,0.9666011787819253,2969,True
7,sample,0.12745255031398275,0.8139372529105371,0.16671344372719618,0.13205534177756398,0.2941098615685435,7.840303115352231,0.9393769295537469,2969,True
8,sample,0.12745255031398275,0.8139372529105371,0.16671344372719618,0.13205534177756398,0.2941098615685435,7.840303115352231,0.7569463934886331,2969,True
9,sample,0.12745255031398275,0.8139372529105371,0.16671344372719618,0.13205534177756398,0.2941098615685435,7.840303115352231,0.22649452708391804,2969,True
1,budget_distribution,1.1619599914718086,0.34719032122042526,0.6267190569744597,0.1329141165348062,1.2366161800769166,7.840303115352231,1.0,1330,True
2,budget_distribution,1.1619599914718086,0.34719032122042526,0.6267190569744597,0.1329141165348062,1.2366161800769166,7.840303115352231,0.9994386752736458,1330,True
3,budget_distribution,1.1619599914718086,0.34719032122042526,0.6267190569744597,0.1329141165348062,1.2366161800769166,7.840303115352231,0.9980353634577603,1330,True
4,budget_distribution,1.1619599914718086,0.34719032122042526,0.6267190569744597,0.1329141165348062,1.2366161800769166,7.840303115352231,0.9789503227617177,1330,True
5,budget_distribution,1.1619599914718086,0.34719032122042526,0.6267190569744597,0.1329141165348062,1.2366161800769166,7.840303115352231,0.9744597249508841,1330,True
6,budget_distribution,1.1619599914718086,0.34719032122042526,0.6267190569744597,0.1329141165348062,1.2366161800769166,7.840303115352231,0.9666011787819253,1330,True
7,budget_distribution,1.1619599914718086,0.34719032122042526,0.6267190569744597,0.1329141165348062,1.2366161800769166,7.840303115352231,0.9393769295537469,1330,True
8,budget_distribution,1.1619599914718086,0.34719032122042526,0.6267190569744597,0.1329141165348062,1.2366161800769166,7.840303115352231,0.7569463934886331,1330,True
9,budget_distribution,1.1619599914718086,0.34719032122042526,0.6267190569744597,0.1329141165348062,1.2366161800769166,7.840303115352231,0.22649452708391804,1330,True
1,budget_absorption,0.9104815474640983,0.28101020840426155,0.5037889419028908,0.13255272582570635,1.0097237590835202,7.840303115352231,1.0,1768,True
2,budget_absorption,0.9104815474640983,0.28101020840426155,0.5037889419028908,0.13255272582570635,1.0097237590835202,7.840303115352231,0.9994386752736458,1768,True
3,budget_absorption,0.9104815474640983,0.28101020840426155,0.5037889419028908,0.13255272582570635,1.0097237590835202,7.840303115352231,0.9980353634577603,1768,True
4,budget_absorption,0.9104815474640983,0.28101020840426155,0.5037889419028908,0.13255272582570635,1.0097237590835202,7.840303115352231,0.9789503227617177,1768,True
5,budget_absorption,0.9104815474640983,0.28101020840426155,0.5037889419028908,0.13255272582570635,1.0097237590835202,7.840303115352231,0.9744597249508841,1768,True
6,budget_absorption,0.9104815474640983,0.28101020840426155,0.5037889419028908,0.13255272582570635,1.0097237590835202,7.840303115352231,0.9666011787819253,1768,True
7,budget_absorption,0.9104815474640983,0.28101020840426155,0.5037889419028908,0.13255272582570635,1.0097237590835202,7.840303115352231,0.9393769295537469,1768,True
8,budget_absorption,0.9104815474640983,0.28101020840426155,0.5037889419028908,0.13255272582570635,1.0097237590835202,7.840303115352231,0.7569463934886331,1768,True
9,budget_absorption,0.9104815474640983,0.28101020840426155,0.5037889419028908,0.13255272582570635,1.0097237590835202,7.840303115352231,0.22649452708391804,1768,True
1,p_gated_uniform,0.7837147921862203,0.5063664496651339,1.0,0.13239044144180265,0.7837147921862203,7.840303115352231,1.0,0,True
2,p_gated_uniform,0.781131342960651,0.5547890491540314,0.9994386752736458,0.13190315721907972,0.7812436079059218,7.840303115352231,0.9994386752736458,2,True
3,p_gated_uniform,0.7796100132004978,0.554860588822412,0.9980353634577603,0.13138558573035514,0.7800029405089458,7.840303115352231,0.9980353634577603,7,True
4,p_gated_uniform,0.7639617980168567,0.6247048739046756,0.9789503227617177,0.12744853101791176,0.7681717334645132,7.840303115352231,0.9789503227617177,75,True
5,p_gated_uniform,0.74538735869943,0.6276849692112045,0.9744597249508841,0.12688377770463025,0.7504954137092531,7.840303115352231,0.9744597249508841,91,True
6,p_gated_uniform,0.7421756630973809,0.6272871196784507,0.9666011787819253,0.12628933687296057,0.7488554273409959,7.840303115352231,0.9666011787819253,119,True
7,p_gated_uniform,0.7296320087792343,0.5336731911982665,0.9393769295537469,0.12511915432441276,0.7417566228684849,7.840303115352231,0.9393769295537469,216,True
8,p_gated_uniform,0.668828571371214,0.608006073660168,0.7569463934886331,0.12084414781856384,0.7174392926734874,7.840303115352231,0.7569463934886331,866,True
9,p_gated_uniform,0.6972587138676137,0.8228033078970085,0.22649452708391804,0.11111111111111113,0.8519598084508302,7.840303115352231,0.22649452708391804,2756,True
1,p_gated_sample,0.12745255031398275,0.8139372529105371,0.16671344372719618,0.13205534177756398,0.2941098615685435,7.840303115352231,1.0,2969,True
2,p_gated_sample,0.12745255031398275,0.8139372529105371,0.16671344372719618,0.13205534177756398,0.2941098615685435,7.840303115352231,0.9994386752736458,2969,True
3,p_gated_sample,0.1271126175997176,0.7281720949798761,0.1664327813640191,0.13143486174683477,0.2938260613269138,7.840303115352231,0.9980353634577603,2970,True
4,p_gated_sample,0.12320309994795171,0.7377053720560673,0.16306483300589392,0.12726484167964375,0.2905901333467729,7.840303115352231,0.9789503227617177,2982,True
5,p_gated_sample,0.12058614569828076,0.725127356097662,0.1627841706427168,0.1270532293377121,0.28802931156973743,7.840303115352231,0.9744597249508841,2983,True
6,p_gated_sample,0.12157461385943488,0.8090484901494556,0.16166152119000843,0.1265466545414462,0.2892423096214332,7.840303115352231,0.9666011787819253,2987,True
7,p_gated_sample,0.12050189420878696,0.8771200009091874,0.15632893628964356,0.12517810834686957,0.2892361069508582,7.840303115352231,0.9393769295537469,3006,True
8,p_gated_sample,0.11737044540705753,0.4700792858443907,0.12573673870333987,0.12087673611111113,0.29222309766638954,7.840303115352231,0.7569463934886331,3115,True
9,p_gated_sample,0.07607978153115066,0.820106181149822,0.03732809430255403,0.11111111111111112,0.26861416267063987,7.840303115352231,0.22649452708391804,3430,True
1,p_gated_ba,0.9104815474640983,0.28101020840426155,0.5037889419028908,0.13255272582570635,1.0097237590835202,7.840303115352231,1.0,1768,True
2,p_gated_ba,0.9021589317560241,0.27861391556322623,0.5009823182711198,0.13206593748610557,1.0019624681018002,7.840303115352231,0.9994386752736458,1778,True
3,p_gated_ba,0.9071408304485143,0.27687316653776145,0.49957900645523434,0.13099830568931692,1.0072250291574676,7.840303115352231,0.9980353634577603,1783,True
4,p_gated_ba,0.8782758135368194,0.33084215722624877,0.48722986247544203,0.12753021907687806,0.980829841041731,7.840303115352231,0.9789503227617177,1827,True
5,p_gated_ba,0.8543784857961778,0.3052568714171531,0.4849845635700253,0.1268679269547325,0.9573815730821728,7.840303115352231,0.9744597249508841,1835,True
6,p_gated_ba,0.8824862592648888,0.7196325623367704,0.4849845635700253,0.1260517710170488,0.9854893465508837,7.840303115352231,0.9666011787819253,1835,True
7,p_gated_ba,0.8306160058550742,0.33172449256486003,0.47095144541117034,0.1251903721361409,0.9364257167728401,7.840303115352231,0.9393769295537469,1885,True
8,p_gated_ba,0.7597752433002565,0.3513044498300014,0.37973617737861354,0.12110946867044431,0.8838280078245337,7.840303115352231,0.7569463934886331,2210,True
9,p_gated_ba,1.346237656281475,0.48041551871065513,0.11872017962391243,0.11111111111111115,1.5224936203566926,7.840303115352231,0.22649452708391804,3140,True
1,n_weighted,0.7981385943652017,0.6930735309564208,1.0,0.13239044144180265,0.7981385943652017,7.840303115352231,1.0,0,True
2,n_weighted,0.7930008760213407,0.5746546355135155,0.9994386752736458,0.13190315721907972,0.7931131409666116,7.840303115352231,0.9994386752736458,2,True
3,n_weighted,0.7896851695823528,0.5723636543298812,0.9980353634577603,0.13138558573035514,0.7900780968908008,7.840303115352231,0.9980353634577603,7,True
4,n_weighted,0.7657784619240112,0.8282656959733824,0.9789503227617177,0.12744853101791176,0.7699883973716677,7.840303115352231,0.9789503227617177,75,True
5,n_weighted,0.7550699185500568,0.6322941734841093,0.974179062587707,0.1268723161981589,0.7602341060325154,7.840303115352231,0.9744597249508841,92,True
6,n_weighted,0.7483252255129551,0.6291588357426601,0.9663205164187483,0.12627760950444655,0.7550611222292054,7.840303115352231,0.9666011787819253,120,True
7,n_weighted,0.7325929271587598,0.5357115289097485,0.9393769295537469,0.12511915432441276,0.7447175412480104,7.840303115352231,0.9393769295537469,216,True
8,n_weighted,0.6696514506424542,0.613501554134923,0.7569463934886331,0.12084414781856384,0.7182621719447276,7.840303115352231,0.7569463934886331,866,True
9,n_weighted,0.697258713867614,0.8228033078970085,0.22649452708391804,0.11111111111111113,0.8519598084508304,7.840303115352231,0.22649452708391804,2756,True
