P,strategy,normalized_mae,kl_divergence,release_rate,attribution_advantage,tuning_loss,avg_n_tau,pr_n_ge_P,deferrals,evaluated
1,uniform,0.9969142291022617,0.8870029704864981,1.0,0.17238849765258216,0.9969142291022617,5.926056338028169,1.0,0,True
2,uniform,0.9969142291022617,0.8870029704864981,1.0,0.17238849765258216,0.9969142291022617,5.926056338028169,1.0,0,True
3,uniform,0.9969142291022617,0.8870029704864981,1.0,0.17238849765258216,0.9969142291022617,5.926056338028169,0.9841549295774648,0,True
4,uniform,0.9969142291022617,0.8870029704864981,1.0,0.17238849765258216,0.9969142291022617,5.926056338028169,0.9841549295774648,0,True
5,uniform,0.9969142291022617,0.8870029704864981,1.0,0.17238849765258216,0.9969142291022617,5.926056338028169,0.9788732394366197,0,True
6,uniform,0.9969142291022617,0.8870029704864981,1.0,0.17238849765258216,0.9969142291022617,5.926056338028169,0.9788732394366197,0,True
1,sample,0.1933754314901876,0.4160752594892253,0.16725352112676056,0.1736842105263158,0.3599247272648355,5.926056338028169,1.0,473,True
2,sample,0.1933754314901876,0.4160752594892253,0.16725352112676056,0.1736842105263158,0.3599247272648355,5.926056338028169,1.0,473,True
3,sample,0.1933754314901876,0.4160752594892253,0.16725352112676056,0.1736842105263158,0.3599247272648355,5.926056338028169,0.9841549295774648,473,True
4,sample,0.1933754314901876,0.4160752594892253,0.16725352112676056,0.1736842105263158,0.3599247272648355,5.926056338028169,0.9841549295774648,473,True
5,sample,0.1933754314901876,0.4160752594892253,0.16725352112676056,0.1736842105263158,0.3599247272648355,5.926056338028169,0.9788732394366197,473,True
6,sample,0.1933754314901876,0.4160752594892253,0.16725352112676056,0.1736842105263158,0.3599247272648355,5.926056338028169,0.9788732394366197,473,True
1,budget_distribution,1.5386034945172744,0.419657499261234,0.6390845070422535,0.17378328741965107,1.6107865931088237,5.926056338028169,1.0,205,True
2,budget_distribution,1.5386034945172744,0.419657499261234,0.6390845070422535,0.17378328741965107,1.6107865931088237,5.926056338028169,1.0,205,True
3,budget_distribution,1.5386034945172744,0.419657499261234,0.6390845070422535,0.17378328741965107,1.6107865931088237,5.926056338028169,0.9841549295774648,205,True
4,budget_distribution,1.5386034945172744,0.419657499261234,0.6390845070422535,0.17378328741965107,1.6107865931088237,5.926056338028169,0.9841549295774648,205,True
5,budget_distribution,1.5386034945172744,0.419657499261234,0.6390845070422535,0.17378328741965107,1.6107865931088237,5.926056338028169,0.9788732394366197,205,True
6,budget_distribution,1.5386034945172744,0.419657499261234,0.6390845070422535,0.17378328741965107,1.6107865931088237,5.926056338028169,0.9788732394366197,205,True
1,budget_absorption,1.3053480480040414,0.41564811411295843,0.5193661971830986,0.17259887005649716,1.4014748085674216,5.926056338028169,1.0,273,True
2,budget_absorption,1.3053480480040414,0.41564811411295843,0.5193661971830986,0.17259887005649716,1.4014748085674216,5.926056338028169,1.0,273,True
3,budget_absorption,1.3053480480040414,0.41564811411295843,0.5193661971830986,0.17259887005649716,1.4014748085674216,5.926056338028169,0.9841549295774648,273,True
4,budget_absorption,1.3053480480040414,0.41564811411295843,0.5193661971830986,0.17259887005649716,1.4014748085674216,5.926056338028169,0.9841549295774648,273,True
5,budget_absorption,1.3053480480040414,0.41564811411295843,0.5193661971830986,0.17259887005649716,1.4014748085674216,5.926056338028169,0.9788732394366197,273,True
6,budget_absorption,1.3053480480040414,0.41564811411295843,0.5193661971830986,0.17259887005649716,1.4014748085674216,5.926056338028169,0.9788732394366197,273,True
1,p_gated_uniform,1.1569507562161958,0.20734679612945797,0.579225352112676,0.14121996611347826,1.2411056857936607,5.926056338028169,1.0,239,True
2,p_gated_uniform,0.9185628517026599,0.3958548691860598,0.551056338028169,0.10101862966254657,1.008351584097026,5.926056338028169,1.0,255,True
3,p_gated_uniform,0.858172635228282,0.3197984159065359,0.5352112676056338,0.09200532961924983,0.9511303817071552,5.926056338028169,0.9841549295774648,264,True
4,p_gated_uniform,0.7182600595631389,0.36703148161196963,0.5176056338028169,0.0816625009257831,0.8147389328025755,5.926056338028169,0.9841549295774648,274,True
5,p_gated_uniform,0.6587810796697089,0.1917823472614602,0.4894366197183099,0.07208140252480641,0.7608937557260469,5.926056338028169,0.9788732394366197,290,True
6,p_gated_uniform,0.608245253372674,0.3971103161249174,0.4630281690140845,0.06465230440809916,0.7156396195698571,5.926056338028169,0.9788732394366197,305,True
1,p_gated_sample,0.15701125082207415,0.26456722686488665,0.09683098591549295,0.10923552700265717,0.33764505363897557,5.926056338028169,1.0,513,True
2,p_gated_sample,0.15701125082207415,0.26456722686488665,0.09683098591549295,0.10923552700265717,0.33764505363897557,5.926056338028169,1.0,513,True
3,p_gated_sample,0.15701125082207415,0.26456722686488665,0.09683098591549295,0.10923552700265717,0.33764505363897557,5.926056338028169,0.9841549295774648,513,True
4,p_gated_sample,0.15943523664880677,0.19517426721764744,0.09507042253521127,0.09102383570812957,0.3404211521417645,5.926056338028169,0.9841549295774648,514,True
5,p_gated_sample,0.1271484789010012,0.1945856819523381,0.09330985915492958,0.0750418533587084,0.3084865070700153,5.926056338028169,0.9788732394366197,515,True
6,p_gated_sample,0.11880671772488531,0.22447494976133223,0.08098591549295775,0.06841075862875472,0.30260953462629375,5.926056338028169,0.9788732394366197,522,True
1,p_gated_ba,1.1208987643671686,0.10184001657427268,0.30985915492957744,0.11796226726047564,1.2589269333812532,5.926056338028169,1.0,392,True
2,p_gated_ba,0.8157568531451979,0.4291346769454074,0.272887323943662,0.08971241050612934,0.9611793883564654,5.926056338028169,1.0,413,True
3,p_gated_ba,0.8239746269712804,0.1144484273691841,0.2605633802816901,0.08947213586116486,0.9718619509149424,5.926056338028169,0.9841549295774648,420,True
4,p_gated_ba,0.6303904235369469,0.4319914721690447,0.2482394366197183,0.07477686183132105,0.7807425362130032,5.926056338028169,0.9841549295774648,427,True
5,p_gated_ba,0.6301283468261005,0.14615354550601695,0.2323943661971831,0.06582025066966826,0.7836494735866639,5.926056338028169,0.9788732394366197,436,True
6,p_gated_ba,0.6105144986099413,0.14915524050680007,0.2323943661971831,0.0632691190812825,0.7640356253705047,5.926056338028169,0.9788732394366197,436,True
1,n_weighted,1.4517401888683827,0.2680378534214862,0.5704225352112676,0.1412575360944848,1.5376556818261293,5.926056338028169,1.0,244,True
2,n_weighted,0.8773534327850784,0.6061474979652991,0.5475352112676056,0.10035618754443833,0.9678463905315573,5.926056338028169,1.0,257,True
3,n_weighted,0.8197911087546301,0.574178658508369,0.5352112676056338,0.09200532961924983,0.9127488552335034,5.926056338028169,0.9841549295774648,264,True
4,n_weighted,0.7176393659254365,0.5138222166916294,0.5176056338028169,0.0816625009257831,0.8141182391648731,5.926056338028169,0.9841549295774648,274,True
5,n_weighted,0.6240264075620143,0.569664736878467,0.4876760563380282,0.07175634906055946,0.7264911962944087,5.926056338028169,0.9788732394366197,291,True
6,n_weighted,0.6116663949366007,0.30517876947328615,0.4612676056338028,0.0646745516409096,0.7194128738098402,5.926056338028169,0.9788732394366197,306,True
