dataset,sensor,clamp_mode,leaf_publisher,P_min,P_max,epsilon,w,rho_split,n_levels,trial,seed,greedy_level,greedy_scope,greedy_n_pubs,greedy_normalized_mae,greedy_release_rate,greedy_levels_probed,greedy_eps_count_spent,brute_level,brute_scope,brute_normalized_mae,brute_release_rate,brute_levels_probed,brute_eps_count_spent,nmae_gap,eps_count_saved,probe_speedup
energy,power_kw,static,CT1,6,,1.0,8,0.1,4,0,77,4,energy/building01/CT1/power_kw,1,0.2599014894541795,0.4662461976390478,1,0.0125,2,energy/building01,0.2572971265618444,0.5088047330672844,4,0.05,0.0026043628923351,0.0375,4.0
energy,power_kw,static,CT1,6,,1.0,8,0.1,4,1,1077,4,energy/building01/CT1/power_kw,1,0.2583284237783665,0.4752044205062373,1,0.0125,2,energy/building01,0.2531479836284973,0.5169257388440822,4,0.05,0.0051804401498691,0.0375,4.0
energy,power_kw,static,CT1,6,,1.0,8,0.1,4,2,2077,4,energy/building01/CT1/power_kw,1,0.2530277505690969,0.4691485502190718,1,0.0125,4,energy/building01/CT1/power_kw,0.2530277505690969,0.4691485502190718,4,0.05,0.0,0.0375,4.0
energy,power_kw,static,CT1,6,,1.0,8,0.1,4,3,3077,1,energy,12,0.257702004911912,0.5135210560098233,4,0.05,2,energy/building01,0.257702004911912,0.5135210560098233,4,0.05,0.0,0.0,1.0
energy,power_kw,static,CT1,6,,1.0,8,0.1,4,4,4077,4,energy/building01/CT1/power_kw,1,0.2530369811837421,0.4729997488348729,1,0.0125,4,energy/building01/CT1/power_kw,0.2530369811837421,0.4729997488348729,4,0.05,0.0,0.0375,4.0
energy,power_kw,static,CT1,6,,1.0,8,0.1,4,5,5077,4,energy/building01/CT1/power_kw,1,0.2588054786392497,0.4709346133452404,1,0.0125,2,energy/building01,0.2545314831656688,0.5114559205201908,4,0.05,0.0042739954735808,0.0375,4.0
energy,voltage,static,CT1,6,,1.0,8,0.1,4,0,77,4,energy/building01/CT1/voltage,1,2.772072546233248,0.4662461976390478,1,0.0125,2,energy/building01,2.094460643827856,0.5354561437780817,4,0.05,0.6776119024053924,0.0375,4.0
energy,voltage,static,CT1,6,,1.0,8,0.1,4,1,1077,4,energy/building01/CT1/voltage,1,2.766179029788256,0.4752044205062373,1,0.0125,2,energy/building01,2.108028998286298,0.5422934166829458,4,0.05,0.6581500315019575,0.0375,4.0
energy,voltage,static,CT1,6,,1.0,8,0.1,4,2,2077,4,energy/building01/CT1/voltage,1,2.776949863259384,0.4691485502190718,1,0.0125,2,energy/building01,2.110247309349419,0.5374096503223286,4,0.05,0.6667025539099645,0.0375,4.0
energy,voltage,static,CT1,6,,1.0,8,0.1,4,3,3077,1,energy,12,2.1177760525255667,0.5380794239946418,4,0.05,2,energy/building01,2.1177760525255667,0.5380794239946418,4,0.05,0.0,0.0,1.0
energy,voltage,static,CT1,6,,1.0,8,0.1,4,4,4077,4,energy/building01/CT1/voltage,1,2.7785728178315026,0.4729997488348729,1,0.0125,2,energy/building01,2.106267036319013,0.5423213239192922,4,0.05,0.67230578151249,0.0375,4.0
energy,voltage,static,CT1,6,,1.0,8,0.1,4,5,5077,4,energy/building01/CT1/voltage,1,2.7743115301714254,0.4709346133452404,1,0.0125,2,energy/building01,2.099215543202195,0.5359584740323166,4,0.05,0.6750959869692306,0.0375,4.0
energy,current,static,CT1,6,,1.0,8,0.1,4,0,77,4,energy/building01/CT1/current,1,0.265488914288815,0.4662461976390478,1,0.0125,2,energy/building01,0.258254816994687,0.4950185583121703,4,0.05,0.0072340972941279,0.0375,4.0
energy,current,static,CT1,6,,1.0,8,0.1,4,1,1077,4,energy/building01/CT1/current,1,0.2638452098534936,0.4752044205062373,1,0.0125,2,energy/building01,0.2538271996751289,0.5039488739430135,4,0.05,0.0100180101783647,0.0375,4.0
energy,current,static,CT1,6,,1.0,8,0.1,4,2,2077,4,energy/building01/CT1/current,1,0.2587129367596152,0.4691485502190718,1,0.0125,2,energy/building01,0.2533950936798429,0.4989255714006642,4,0.05,0.0053178430797723,0.0375,4.0
energy,current,static,CT1,6,,1.0,8,0.1,4,3,3077,1,energy,12,0.2613041879961121,0.4999581391454804,4,0.05,2,energy/building01,0.2613041879961121,0.4999581391454804,4,0.05,0.0,0.0,1.0
energy,current,static,CT1,6,,1.0,8,0.1,4,4,4077,4,energy/building01/CT1/current,1,0.2590510479660426,0.4729997488348729,1,0.0125,4,energy/building01/CT1/current,0.2590510479660426,0.4729997488348729,4,0.05,0.0,0.0375,4.0
energy,current,static,CT1,6,,1.0,8,0.1,4,5,5077,4,energy/building01/CT1/current,1,0.2643185472427219,0.4709346133452404,1,0.0125,2,energy/building01,0.2558516612615584,0.4988139424552786,4,0.05,0.0084668859811635,0.0375,4.0
manufacturing,temperature,static,sub_0,6,,1.0,8,0.1,5,0,77,5,factory/line1/sorting/machine0/temperature,1,0.4747955027850182,0.465,1,0.0125,2,factory/line1,0.4181128378804788,0.513,5,0.0625,0.0566826649045393,0.05,5.0
manufacturing,temperature,static,sub_0,6,,1.0,8,0.1,5,1,1077,5,factory/line1/sorting/machine0/temperature,1,0.477328758108742,0.488,1,0.0125,2,factory/line1,0.4708135688500151,0.535,5,0.0625,0.0065151892587269,0.05,5.0
manufacturing,temperature,static,sub_0,6,,1.0,8,0.1,5,2,2077,5,factory/line1/sorting/machine0/temperature,1,0.459539900537634,0.469,1,0.0125,3,factory/line1/sorting,0.4525648944112588,0.485,5,0.0625,0.0069750061263751,0.05,5.0
manufacturing,temperature,static,sub_0,6,,1.0,8,0.1,5,3,3077,2,factory/line1,10,0.4245546761076923,0.532,4,0.05,2,factory/line1,0.4245546761076923,0.532,5,0.0625,0.0,0.0124999999999999,1.25
manufacturing,temperature,static,sub_0,6,,1.0,8,0.1,5,4,4077,5,factory/line1/sorting/machine0/temperature,1,0.4687818953000049,0.466,1,0.0125,2,factory/line1,0.4398687584676601,0.512,5,0.0625,0.0289131368323448,0.05,5.0
manufacturing,temperature,static,sub_0,6,,1.0,8,0.1,5,5,5077,5,factory/line1/sorting/machine0/temperature,1,0.4253038547981324,0.485,1,0.0125,2,factory/line1,0.3899083753993107,0.52,5,0.0625,0.0353954793988217,0.05,5.0
manufacturing,machine_speed,static,sub_0,6,,1.0,8,0.1,5,0,77,5,factory/line1/sorting/machine0/machine_speed,1,0.4182908791653208,0.465,1,0.0125,2,factory/line1,0.3739008913848298,0.513,5,0.0625,0.044389987780491,0.05,5.0
manufacturing,machine_speed,static,sub_0,6,,1.0,8,0.1,5,1,1077,5,factory/line1/sorting/machine0/machine_speed,1,0.4204898008116854,0.488,1,0.0125,5,factory/line1/sorting/machine0/machine_speed,0.4204898008116854,0.488,5,0.0625,0.0,0.05,5.0
manufacturing,machine_speed,static,sub_0,6,,1.0,8,0.1,5,2,2077,5,factory/line1/sorting/machine0/machine_speed,1,0.3944472733863952,0.469,1,0.0125,3,factory/line1/sorting,0.3915688259492582,0.485,5,0.0625,0.0028784474371369,0.05,5.0
manufacturing,machine_speed,static,sub_0,6,,1.0,8,0.1,5,3,3077,2,factory/line1,10,0.3785678463364799,0.532,4,0.05,2,factory/line1,0.3785678463364799,0.532,5,0.0625,0.0,0.0124999999999999,1.25
manufacturing,machine_speed,static,sub_0,6,,1.0,8,0.1,5,4,4077,5,factory/line1/sorting/machine0/machine_speed,1,0.4080185361794327,0.466,1,0.0125,3,factory/line1/sorting,0.3913186409206141,0.473,5,0.0625,0.0166998952588186,0.05,5.0
manufacturing,machine_speed,static,sub_0,6,,1.0,8,0.1,5,5,5077,5,factory/line1/sorting/machine0/machine_speed,1,0.3666363294660462,0.485,1,0.0125,2,factory/line1,0.3425511475128213,0.52,5,0.0625,0.0240851819532248,0.05,5.0
manufacturing,quality,static,sub_0,6,,1.0,8,0.1,5,0,77,5,factory/line1/sorting/machine0/quality,1,0.8726637238550451,0.465,1,0.0125,2,factory/line1,0.7310189505914211,0.513,5,0.0625,0.141644773263624,0.05,5.0
manufacturing,quality,static,sub_0,6,,1.0,8,0.1,5,1,1077,5,factory/line1/sorting/machine0/quality,1,0.8798767793717668,0.488,1,0.0125,2,factory/line1,0.7840149930073126,0.535,5,0.0625,0.0958617863644542,0.05,5.0
manufacturing,quality,static,sub_0,6,,1.0,8,0.1,5,2,2077,5,factory/line1/sorting/machine0/quality,1,0.8887080164699086,0.469,1,0.0125,2,factory/line1,0.7856293354278908,0.536,5,0.0625,0.1030786810420177,0.05,5.0
manufacturing,quality,static,sub_0,6,,1.0,8,0.1,5,3,3077,2,factory/line1,10,0.7427440368023223,0.532,4,0.05,2,factory/line1,0.7427440368023223,0.532,5,0.0625,0.0,0.0124999999999999,1.25
manufacturing,quality,static,sub_0,6,,1.0,8,0.1,5,4,4077,5,factory/line1/sorting/machine0/quality,1,0.8827083849782736,0.466,1,0.0125,2,factory/line1,0.7569267989678529,0.512,5,0.0625,0.1257815860104207,0.05,5.0
manufacturing,quality,static,sub_0,6,,1.0,8,0.1,5,5,5077,5,factory/line1/sorting/machine0/quality,1,0.8399947703423256,0.485,1,0.0125,2,factory/line1,0.7215396572717027,0.52,5,0.0625,0.1184551130706229,0.05,5.0
manufacturing,vibration,static,sub_0,6,,1.0,8,0.1,5,0,77,5,factory/line1/sorting/machine0/vibration,1,0.2809187069296713,0.465,1,0.0125,2,factory/line1,0.2661501572335501,0.513,5,0.0625,0.0147685496961212,0.05,5.0
manufacturing,vibration,static,sub_0,6,,1.0,8,0.1,5,1,1077,5,factory/line1/sorting/machine0/vibration,1,0.2779944496918797,0.488,1,0.0125,5,factory/line1/sorting/machine0/vibration,0.2779944496918797,0.488,5,0.0625,0.0,0.05,5.0
manufacturing,vibration,static,sub_0,6,,1.0,8,0.1,5,2,2077,5,factory/line1/sorting/machine0/vibration,1,0.229832240184597,0.469,1,0.0125,5,factory/line1/sorting/machine0/vibration,0.229832240184597,0.469,5,0.0625,0.0,0.05,5.0
manufacturing,vibration,static,sub_0,6,,1.0,8,0.1,5,3,3077,2,factory/line1,10,0.2598801213140366,0.532,4,0.05,2,factory/line1,0.2598801213140366,0.532,5,0.0625,0.0,0.0124999999999999,1.25
manufacturing,vibration,static,sub_0,6,,1.0,8,0.1,5,4,4077,5,factory/line1/sorting/machine0/vibration,1,0.2466344200723179,0.466,1,0.0125,3,factory/line1/sorting,0.2368797339726393,0.473,5,0.0625,0.0097546860996786,0.05,5.0
manufacturing,vibration,static,sub_0,6,,1.0,8,0.1,5,5,5077,5,factory/line1/sorting/machine0/vibration,1,0.2309364373865925,0.485,1,0.0125,3,factory/line1/sorting,0.2265954268875439,0.485,5,0.0625,0.0043410104990486,0.05,5.0
manufacturing,energy,static,sub_0,6,,1.0,8,0.1,5,0,77,5,factory/line1/sorting/machine0/energy,1,0.3221913684292367,0.465,1,0.0125,2,factory/line1,0.2972454605481056,0.513,5,0.0625,0.0249459078811311,0.05,5.0
manufacturing,energy,static,sub_0,6,,1.0,8,0.1,5,1,1077,5,factory/line1/sorting/machine0/energy,1,0.3201480494284501,0.488,1,0.0125,5,factory/line1/sorting/machine0/energy,0.3201480494284501,0.488,5,0.0625,0.0,0.05,5.0
manufacturing,energy,static,sub_0,6,,1.0,8,0.1,5,2,2077,5,factory/line1/sorting/machine0/energy,1,0.2765033326378473,0.469,1,0.0125,5,factory/line1/sorting/machine0/energy,0.2765033326378473,0.469,5,0.0625,0.0,0.05,5.0
manufacturing,energy,static,sub_0,6,,1.0,8,0.1,5,3,3077,2,factory/line1,10,0.2963136462212276,0.532,4,0.05,2,factory/line1,0.2963136462212276,0.532,5,0.0625,0.0,0.0124999999999999,1.25
manufacturing,energy,static,sub_0,6,,1.0,8,0.1,5,4,4077,5,factory/line1/sorting/machine0/energy,1,0.2966383768206478,0.466,1,0.0125,3,factory/line1/sorting,0.2839592504438111,0.473,5,0.0625,0.0126791263768367,0.05,5.0
manufacturing,energy,static,sub_0,6,,1.0,8,0.1,5,5,5077,5,factory/line1/sorting/machine0/energy,1,0.2706060669218503,0.485,1,0.0125,2,factory/line1,0.2606793829462042,0.52,5,0.0625,0.0099266839756461,0.05,5.0
mobility,traffic_speed,static,cell_0_1,6,,1.0,8,0.1,5,0,77,5,mobility/nyc/SW/cell_0_1/traffic_speed,1,0.4359844169496681,0.4212034383954154,1,0.0125,2,mobility/nyc,0.4235693057399869,0.4772182254196642,5,0.0625,0.0124151112096812,0.05,5.0
mobility,traffic_speed,static,cell_0_1,6,,1.0,8,0.1,5,1,1077,5,mobility/nyc/SW/cell_0_1/traffic_speed,1,0.4739950143362753,0.4527220630372492,1,0.0125,3,mobility/nyc/SW,0.4491289159779435,0.4913544668587896,5,0.0625,0.0248660983583318,0.05,5.0
mobility,traffic_speed,static,cell_0_1,6,,1.0,8,0.1,5,2,2077,5,mobility/nyc/SW/cell_0_1/traffic_speed,1,0.4298557478089428,0.4899713467048711,1,0.0125,2,mobility/nyc,0.4108300154662809,0.5,5,0.0625,0.0190257323426619,0.05,5.0
mobility,traffic_speed,static,cell_0_1,6,,1.0,8,0.1,5,3,3077,2,mobility/nyc,16,0.480465935971723,0.5083932853717026,4,0.05,3,mobility/nyc/SW,0.4644117057089232,0.4913544668587896,5,0.0625,0.0160542302627997,0.0124999999999999,1.25
mobility,traffic_speed,static,cell_0_1,6,,1.0,8,0.1,5,4,4077,5,mobility/nyc/SW/cell_0_1/traffic_speed,1,0.3768528887339507,0.4871060171919771,1,0.0125,5,mobility/nyc/SW/cell_0_1/traffic_speed,0.3768528887339507,0.4871060171919771,5,0.0625,0.0,0.05,5.0
