dataset,sensor,clamp_mode,strategy,P,P_max,rho_split,epsilon,w,payload_bound,normalized_mae,predicted_nmae_uniform,predicted_laplace_scale,kl_divergence,release_rate,attribution_advantage,avg_n_tau_eligible,avg_n_tau,mae,deferrals,num_timestamps,trial,seed,subscription_level,scope
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,9.86572049961141,9.916659744718554,495.8329872359277,0.8267356102619751,0.9993303571428572,0.1250020104358947,8.067232521777976,8.061830357142858,493.2860249805705,6,8960,0,77,1,energy
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,10.161395102843583,9.916659744718554,495.8329872359277,0.8095294431234484,0.9993303571428572,0.1250020104358947,8.067232521777976,8.061830357142858,508.0697551421792,6,8960,1,1077,1,energy
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,10.053369866329984,9.916659744718554,495.8329872359277,0.7903480101128478,0.9993303571428572,0.1250020104358947,8.067232521777976,8.061830357142858,502.6684933164992,6,8960,2,2077,1,energy
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,10.012343926212248,9.916659744718554,495.8329872359277,0.7985652228037112,0.9993303571428572,0.1250020104358947,8.067232521777976,8.061830357142858,500.6171963106124,6,8960,3,3077,1,energy
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,10.035866696866664,9.916659744718554,495.8329872359277,1.0688675606210178,0.9993303571428572,0.1250020104358947,8.067232521777976,8.061830357142858,501.7933348433332,6,8960,4,4077,1,energy
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,10.091220725535504,9.916659744718554,495.8329872359277,1.064652531604295,0.9993303571428572,0.1250020104358947,8.067232521777976,8.061830357142858,504.5610362767752,6,8960,5,5077,1,energy
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,9.86572049961141,9.916659744718554,495.8329872359277,0.8267356102619751,0.9993303571428572,0.1250020104358947,8.067232521777976,8.061830357142858,493.2860249805705,6,8960,0,77,2,energy/building01
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,10.161395102843583,9.916659744718554,495.8329872359277,0.8095294431234484,0.9993303571428572,0.1250020104358947,8.067232521777976,8.061830357142858,508.0697551421792,6,8960,1,1077,2,energy/building01
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,10.053369866329984,9.916659744718554,495.8329872359277,0.7903480101128478,0.9993303571428572,0.1250020104358947,8.067232521777976,8.061830357142858,502.6684933164992,6,8960,2,2077,2,energy/building01
energy,power_kw,static,uniform,1,,0.1,0.1,8,50.0,10.012343926212248,9.916659744718554,495.8329872359277,0.7985652228037112,0.9993303571428572,0.1250020104358947,8.067232521777976,8.061830357142858,500.6171963106124,6,8960,3,3077,2,energy/building01
