dataset,scenario,sensor,clamp_mode,plugin_P,trial,seed,num_taus,num_releases,num_deferrals,num_walkups,release_rate,walkup_rate,t_start_monotonic,t_start_spacing_mean,t_start_spacing_std,p_gate_violations,max_abs_diff_vs_offline,num_published
energy,pooled,power_kw,static,1,0,123,200,193,7,82,0.965,0.41,True,1.0,0.0,0,1927.25016139133,200
energy,pooled,power_kw,static,1,1,1123,200,191,9,88,0.955,0.44,True,1.0,0.0,0,803.4337544297017,200
energy,pooled,power_kw,static,1,2,2123,200,194,6,82,0.97,0.41,True,1.0,0.0,0,2377.999788085063,200
energy,pooled,power_kw,static,1,3,3123,200,198,2,81,0.99,0.405,True,1.0,0.0,0,3242.5324875057863,200
energy,pooled,power_kw,static,1,4,4123,200,191,9,84,0.955,0.42,True,1.0,0.0,0,1348.5749026171748,200
energy,pooled,power_kw,static,1,5,5123,200,192,8,79,0.96,0.395,True,1.0,0.0,0,2762.4993456449142,200
energy,hierarchy,power_kw,static,2,0,123,1889,1780,109,929,0.942297511911064,0.4917946003176284,True,0.1059322033898305,0.307750827252838,1513,,1889
energy,hierarchy,power_kw,static,2,1,1123,1889,1798,91,957,0.9518263631551084,0.5066172578083642,True,0.1059322033898305,0.307750827252838,1501,,1889
energy,hierarchy,power_kw,static,2,2,2123,1889,1778,111,981,0.9412387506617258,0.5193223928004235,True,0.1059883412824589,0.3078226970102301,1471,,1888
energy,hierarchy,power_kw,static,2,3,3123,1889,1782,107,958,0.9433562731604024,0.5071466384330333,True,0.1059322033898305,0.307750827252838,1493,,1889
energy,hierarchy,power_kw,static,2,4,4123,1889,1779,110,973,0.9417681312863948,0.5150873478030704,True,0.1059322033898305,0.307750827252838,1484,,1889
energy,hierarchy,power_kw,static,2,5,5123,1889,1771,118,962,0.937533086289042,0.5092641609317099,True,0.1059322033898305,0.307750827252838,1484,,1889
manufacturing,pooled,temperature,static,1,0,123,200,196,4,77,0.98,0.385,True,1.0,0.0,0,7599.263631902648,200
manufacturing,pooled,temperature,static,1,1,1123,200,193,7,84,0.965,0.42,True,1.0,0.0,0,6427.441837546828,200
manufacturing,pooled,temperature,static,1,2,2123,200,195,5,78,0.975,0.39,True,1.0,0.0,0,5054.161379852353,200
manufacturing,pooled,temperature,static,1,3,3123,200,198,2,80,0.99,0.4,True,1.0,0.0,0,3392.4233257197816,200
manufacturing,pooled,temperature,static,1,4,4123,200,192,8,82,0.96,0.41,True,1.0,0.0,0,6562.091022584237,200
manufacturing,pooled,temperature,static,1,5,5123,200,193,7,74,0.965,0.37,True,1.0,0.0,0,5536.605582244906,200
manufacturing,hierarchy,temperature,static,2,0,123,2000,1885,115,978,0.9425,0.489,True,0.0995497748874437,0.2993987595286644,1599,,2000
manufacturing,hierarchy,temperature,static,2,1,1123,2000,1884,116,1007,0.942,0.5035,True,0.0995497748874437,0.2993987595286644,1623,,2000
manufacturing,hierarchy,temperature,static,2,2,2123,2000,1876,124,1028,0.938,0.514,True,0.0995995995995996,0.29946538925091,1591,,1999
manufacturing,hierarchy,temperature,static,2,3,3123,2000,1887,113,1008,0.9435,0.504,True,0.0995497748874437,0.2993987595286644,1619,,2000
manufacturing,hierarchy,temperature,static,2,4,4123,2000,1879,121,1013,0.9395,0.5065,True,0.0995497748874437,0.2993987595286644,1610,,2000
manufacturing,hierarchy,temperature,static,2,5,5123,2000,1877,123,1018,0.9385,0.509,True,0.0995995995995996,0.29946538925091,1588,,1999
