dataset,sensor,clamp_mode,scope,module,module_idx,epsilon,w,P,P_max,k_ext,rho_split,strategy,payload_bound,trial,seed,normalized_mae,mae,kl_divergence,release_rate,avg_n_tau,n_logical_timestamps
energy,power_kw,static,leaf,M1_pgate,1,1.0,8,6,,4,0.1,p_gated_uniform,50.0,0,77,0.2595911242411583,12.979556212057917,0.1896840976802473,0.4659997221064332,0.9944977073780742,35985
energy,power_kw,static,leaf,M1_pgate,1,1.0,8,6,,4,0.1,p_gated_uniform,50.0,1,1077,0.257583952217305,12.87919761086525,0.178497723664545,0.4754481033764068,0.9944977073780742,35985
energy,power_kw,static,leaf,M1_pgate,1,1.0,8,6,,4,0.1,p_gated_uniform,50.0,2,2077,0.2532536237030328,12.66268118515164,0.3487666096332173,0.4691121300541892,0.9944977073780742,35985
energy,power_kw,static,leaf,M1_pgate,1,1.0,8,6,,4,0.1,p_gated_uniform,50.0,3,3077,0.2626004624082842,13.13002312041421,0.073755003966374,0.4723356954286508,0.9944977073780742,35985
energy,power_kw,static,leaf,M1_pgate,1,1.0,8,6,,4,0.1,p_gated_uniform,50.0,4,4077,0.2528362569271633,12.641812846358167,0.292823856500683,0.4727525357787967,0.9944977073780742,35985
energy,power_kw,static,leaf,M1_pgate,1,1.0,8,6,,4,0.1,p_gated_uniform,50.0,5,5077,0.2589620097995633,12.948100489978165,0.1160406615934013,0.4710295956648603,0.9944977073780742,35985
energy,power_kw,static,leaf,M2_interval_ext,2,1.0,8,6,,4,0.1,p_gated_uniform,50.0,0,77,0.2649247594324684,13.24623797162342,0.5291980189398585,0.4656106711129637,0.9955537029317773,7197
energy,power_kw,static,leaf,M2_interval_ext,2,1.0,8,6,,4,0.1,p_gated_uniform,50.0,1,1077,0.2635661222329447,13.178306111647236,0.2104487470151065,0.4808948172849798,0.9955537029317773,7197
energy,power_kw,static,leaf,M2_interval_ext,2,1.0,8,6,,4,0.1,p_gated_uniform,50.0,2,2077,0.2519567232535125,12.597836162675623,0.1214421871159118,0.4679727664304571,0.9955537029317773,7197
energy,power_kw,static,leaf,M2_interval_ext,2,1.0,8,6,,4,0.1,p_gated_uniform,50.0,3,3077,0.2565156797137238,12.825783985686192,0.6337706775455766,0.4758927330832291,0.9955537029317773,7197
energy,power_kw,static,leaf,M2_interval_ext,2,1.0,8,6,,4,0.1,p_gated_uniform,50.0,4,4077,0.2474206945892564,12.371034729462822,0.2683105233724528,0.4707517020980964,0.9955537029317773,7197
energy,power_kw,static,leaf,M2_interval_ext,2,1.0,8,6,,4,0.1,p_gated_uniform,50.0,5,5077,0.2437913066011852,12.18956533005926,0.1843007813393034,0.4790885091010143,0.9955537029317773,7197
energy,power_kw,static,leaf,M3_walk_up,3,1.0,8,6,,4,0.1,p_gated_uniform,50.0,0,77,0.2560647136232145,12.803235681160723,0.0679619797677734,0.5086955308042319,7.86330011445161,35823
energy,power_kw,static,leaf,M3_walk_up,3,1.0,8,6,,4,0.1,p_gated_uniform,50.0,1,1077,0.2529590193821384,12.647950969106924,0.203157799632022,0.5167629735086398,7.86330011445161,35823
energy,power_kw,static,leaf,M3_walk_up,3,1.0,8,6,,4,0.1,p_gated_uniform,50.0,2,2077,0.2549714992265917,12.748574961329584,0.3352246814628736,0.5126873796164475,7.86330011445161,35823
energy,power_kw,static,leaf,M3_walk_up,3,1.0,8,6,,4,0.1,p_gated_uniform,50.0,3,3077,0.2574428510826653,12.872142554133264,0.118462260467277,0.5136085754961895,7.86330011445161,35823
energy,power_kw,static,leaf,M3_walk_up,3,1.0,8,6,,4,0.1,p_gated_uniform,50.0,4,4077,0.2645497013796114,13.22748506898057,0.1917123633019646,0.5174887642017698,7.86330011445161,35823
energy,power_kw,static,leaf,M3_walk_up,3,1.0,8,6,,4,0.1,p_gated_uniform,50.0,5,5077,0.2542039536397817,12.710197681989088,0.1532668411924175,0.5114591184434581,7.86330011445161,35823
energy,power_kw,static,pooled,M1_pgate,1,1.0,8,6,,4,0.1,p_gated_uniform,50.0,0,77,0.2584453422103639,12.922267110518195,0.3654106102145693,0.5085452271779908,7.827900514103098,35985
energy,power_kw,static,pooled,M1_pgate,1,1.0,8,6,,4,0.1,p_gated_uniform,50.0,1,1077,0.2530221927683159,12.651109638415797,0.1996458900555562,0.5164651938307628,7.827900514103098,35985
energy,power_kw,static,pooled,M1_pgate,1,1.0,8,6,,4,0.1,p_gated_uniform,50.0,2,2077,0.2565267231393071,12.826336156965354,0.1426430466428247,0.5124635264693622,7.827900514103098,35985
energy,power_kw,static,pooled,M1_pgate,1,1.0,8,6,,4,0.1,p_gated_uniform,50.0,3,3077,0.2561491792439784,12.807458962198922,0.2859467795634024,0.5132694178129776,7.827900514103098,35985
energy,power_kw,static,pooled,M1_pgate,1,1.0,8,6,,4,0.1,p_gated_uniform,50.0,4,4077,0.2639875882952509,13.199379414762548,0.1922619166739818,0.5171599277476726,7.827900514103098,35985
energy,power_kw,static,pooled,M1_pgate,1,1.0,8,6,,4,0.1,p_gated_uniform,50.0,5,5077,0.2537345891998209,12.686729459991046,0.1544499778808844,0.5107127969987495,7.827900514103098,35985
energy,power_kw,static,pooled,M2_interval_ext,2,1.0,8,6,,4,0.1,p_gated_uniform,50.0,0,77,0.2560647136232145,12.803235681160723,0.0679619797677734,0.5086955308042319,7.86330011445161,35823
energy,power_kw,static,pooled,M2_interval_ext,2,1.0,8,6,,4,0.1,p_gated_uniform,50.0,1,1077,0.2529590193821384,12.647950969106924,0.203157799632022,0.5167629735086398,7.86330011445161,35823
energy,power_kw,static,pooled,M2_interval_ext,2,1.0,8,6,,4,0.1,p_gated_uniform,50.0,2,2077,0.2549714992265917,12.748574961329584,0.3352246814628736,0.5126873796164475,7.86330011445161,35823
