dataset,sensor,clamp_mode,subscription_level,scope,approach,epsilon,w,P,payload_bound,trial,seed,normalized_mae,mae,kl_divergence,release_rate,attribution_advantage,eps_count_spent,compute_ms_per_element,noise_scale,strategy,P_min,P_max
energy,power_kw,static,1,energy,classic,1.0,8,6,50.0,0,77,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,1,energy,classic,1.0,8,6,50.0,1,1077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,1,energy,classic,1.0,8,6,50.0,2,2077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,1,energy,classic,1.0,8,6,50.0,3,3077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,1,energy,classic,1.0,8,6,50.0,4,4077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,1,energy,classic,1.0,8,6,50.0,5,5077,0.0,0.0,0.0,1.0,,0.0,0.0,,,,
energy,power_kw,static,1,energy,ldp,1.0,8,6,50.0,0,77,3.172275104038638,158.6137552019319,1.508916163583842,1.0,1.0,0.0,0.0578117166568554,400.0,,,
energy,power_kw,static,1,energy,ldp,1.0,8,6,50.0,1,1077,3.181803719113347,159.09018595566735,1.4872891174947067,1.0,1.0,0.0,0.0417878214211969,400.0,,,
energy,power_kw,static,1,energy,ldp,1.0,8,6,50.0,2,2077,3.159115191408544,157.9557595704272,1.5080034204824675,1.0,1.0,0.0,0.0437403172757741,400.0,,,
energy,power_kw,static,1,energy,ldp,1.0,8,6,50.0,3,3077,3.181827747070993,159.09138735354964,1.4823005845800683,1.0,1.0,0.0,0.0417677855558195,400.0,,,
energy,power_kw,static,1,energy,ldp,1.0,8,6,50.0,4,4077,3.16842083305238,158.421041652619,1.4912454556110806,1.0,1.0,0.0,0.0418863045469883,400.0,,,
energy,power_kw,static,1,energy,ldp,1.0,8,6,50.0,5,5077,3.1763580726962406,158.81790363481204,1.37300957787936,1.0,1.0,0.0,0.0420530954130459,400.0,,,
energy,power_kw,static,1,energy,per_type_wevent,1.0,8,6,50.0,0,77,1.010520066769676,50.52600333848379,0.9587642830478376,0.9987162671280664,0.1280562502018617,0.0,0.2124318809486347,,,,
energy,power_kw,static,1,energy,per_type_wevent,1.0,8,6,50.0,1,1077,1.021248607964745,51.06243039823725,0.935249102813698,0.9987162671280664,0.1280562502018617,0.0,0.1658594708001778,,,,
energy,power_kw,static,1,energy,per_type_wevent,1.0,8,6,50.0,2,2077,1.03193396662111,51.5966983310555,1.0282172861472227,0.9987162671280664,0.1280562502018617,0.0,0.1673966389367956,,,,
energy,power_kw,static,1,energy,per_type_wevent,1.0,8,6,50.0,3,3077,1.0223033615410089,51.11516807705045,0.7981555153548424,0.9987162671280664,0.1280562502018617,0.0,0.166158523870645,,,,
energy,power_kw,static,1,energy,per_type_wevent,1.0,8,6,50.0,4,4077,1.023929878434971,51.19649392174856,0.8396386286487941,0.9987162671280664,0.1280562502018617,0.0,0.1660702855790714,,,,
energy,power_kw,static,1,energy,per_type_wevent,1.0,8,6,50.0,5,5077,1.0229657612319758,51.14828806159879,0.9503803057793124,0.9987162671280664,0.1280562502018617,0.0,0.1666455838489945,,,,
energy,power_kw,static,1,energy,ours,1.0,8,6,50.0,0,77,0.8300554355608709,41.502771778043545,0.3553077957697806,0.5512516395501353,0.0629500889131531,1791.6499999989182,0.1701548393371107,,p_gated_uniform,6.0,
energy,power_kw,static,1,energy,ours,1.0,8,6,50.0,1,1077,0.8316727457544681,41.583637287723406,0.3875849081667555,0.5584237992911562,0.0625944024216076,1791.6499999989182,0.1716479240358312,,p_gated_uniform,6.0,
energy,power_kw,static,1,energy,ours,1.0,8,6,50.0,2,2077,0.8355065712421026,41.77532856210513,0.3572731216399058,0.5537632908213099,0.0625631704880222,1791.6499999989182,0.1680542286126242,,p_gated_uniform,6.0,
energy,power_kw,static,1,energy,ours,1.0,8,6,50.0,3,3077,0.8296626455934987,41.48313227967493,0.5710586513353247,0.5532609605670751,0.0624378666956925,1791.6499999989182,0.1725466869411458,,p_gated_uniform,6.0,
energy,power_kw,static,1,energy,ours,1.0,8,6,50.0,4,4077,0.8275166247987578,41.37583123993789,0.3322689322892334,0.5579214690369213,0.062388986569207,1791.6499999989182,0.1735039143533681,,p_gated_uniform,6.0,
