dataset,ref_sensor,clamp_mode,subscription_level,scope,range_compatible_fraction,topic_hierarchy_depth_h,n_sensor_types,avg_n_tau,trial,seed,normalized_mae,kl_divergence,release_rate,eps_count_spent,dp_count_releases,epsilon,w,P,P_max,rho_split
energy,power_kw,static,1,energy,0.3333333333333333,4,3,7.861105684704044,0,77,0.2572971265618444,0.0933848997853638,0.5088047330672844,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,1,energy,0.3333333333333333,4,3,7.861105684704044,1,1077,0.2531479836284973,0.2003116181706871,0.5169257388440822,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,1,energy,0.3333333333333333,4,3,7.861105684704044,2,2077,0.2554123529567636,0.1472895800484793,0.5128512823375101,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,1,energy,0.3333333333333333,4,3,7.861105684704044,3,3077,0.257702004911912,0.118922520471378,0.5135210560098233,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,1,energy,0.3333333333333333,4,3,7.861105684704044,4,4077,0.2646837734224588,0.1948501531425066,0.5172048112075461,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,1,energy,0.3333333333333333,4,3,7.861105684704044,5,5077,0.2545314831656688,0.1530766866997036,0.5114559205201908,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,2,energy/building01,0.3333333333333333,4,3,7.861105684704044,0,77,0.2572971265618444,0.0933848997853638,0.5088047330672844,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,2,energy/building01,0.3333333333333333,4,3,7.861105684704044,1,1077,0.2531479836284973,0.2003116181706871,0.5169257388440822,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,2,energy/building01,0.3333333333333333,4,3,7.861105684704044,2,2077,0.2554123529567636,0.1472895800484793,0.5128512823375101,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,2,energy/building01,0.3333333333333333,4,3,7.861105684704044,3,3077,0.257702004911912,0.118922520471378,0.5135210560098233,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,2,energy/building01,0.3333333333333333,4,3,7.861105684704044,4,4077,0.2646837734224588,0.1948501531425066,0.5172048112075461,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,2,energy/building01,0.3333333333333333,4,3,7.861105684704044,5,5077,0.2545314831656688,0.1530766866997036,0.5114559205201908,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT1,0.3333333333333333,4,3,0.9987162671280664,0,77,0.2599014894541795,0.1900984844509818,0.4662461976390478,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT1,0.3333333333333333,4,3,0.9987162671280664,1,1077,0.2583284237783665,0.17832530141403,0.4752044205062373,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT1,0.3333333333333333,4,3,0.9987162671280664,2,2077,0.2530277505690969,0.3487594712833107,0.4691485502190718,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT1,0.3333333333333333,4,3,0.9987162671280664,3,3077,0.2627558549840807,0.0892830075639205,0.4723857896352524,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT1,0.3333333333333333,4,3,0.9987162671280664,4,4077,0.2530369811837421,0.2928079584706513,0.4729997488348729,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT1,0.3333333333333333,4,3,0.9987162671280664,5,5077,0.2588054786392497,0.1158103989929566,0.4709346133452404,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT2,0.3333333333333333,4,3,0.997916842609014,0,77,0.2580984980003433,0.1890670987147138,0.4661486923964755,444.0374999997331,35523,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT2,0.3333333333333333,4,3,0.997916842609014,1,1077,0.2568058345068423,0.1793957144350665,0.4753539960025899,444.0374999997331,35523,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT2,0.3333333333333333,4,3,0.997916842609014,2,2077,0.2510283044577602,0.3464984796721557,0.4689637699518622,444.0374999997331,35523,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT2,0.3333333333333333,4,3,0.997916842609014,3,3077,0.2611939241621486,0.6575923688722244,0.4724263153449877,444.0374999997331,35523,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT2,0.3333333333333333,4,3,0.997916842609014,4,4077,0.2519066446183734,0.2889920937876924,0.4726515215494187,444.0374999997331,35523,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT2,0.3333333333333333,4,3,0.997916842609014,5,5077,0.2578595919443601,0.1160609629894569,0.4710469273428483,444.0374999997331,35523,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT3,0.3333333333333333,4,3,0.9325227963525836,0,77,0.2579771958342222,0.3551178804980053,0.4668693009118541,349.562499999819,27965,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT3,0.3333333333333333,4,3,0.9325227963525836,1,1077,0.2569992254502092,0.1543738768020924,0.4754156981941713,349.562499999819,27965,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT3,0.3333333333333333,4,3,0.9325227963525836,2,2077,0.2464523005569898,0.1498255604709105,0.4687287681029858,349.562499999819,27965,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT3,0.3333333333333333,4,3,0.9325227963525836,3,3077,0.2639345780130155,0.1479090949812521,0.4718397997496871,349.562499999819,27965,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT3,0.3333333333333333,4,3,0.9325227963525836,4,4077,0.2549399132296638,0.2334679511000491,0.469586983729662,349.562499999819,27965,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT3,0.3333333333333333,4,3,0.9325227963525836,5,5077,0.258221481884716,0.6562984467678632,0.4699088145896656,349.562499999819,27965,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT4,0.3333333333333333,4,3,0.3454545454545454,0,77,0.2642097893351461,0.3889027845235004,0.4641809803100126,149.18750000000125,11935,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT4,0.3333333333333333,4,3,0.3454545454545454,1,1077,0.2586551074926304,0.2019621477522153,0.4741516547968161,149.18750000000125,11935,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT4,0.3333333333333333,4,3,0.3454545454545454,2,2077,0.2493653796815574,0.1239168200657012,0.4634268956849602,149.18750000000125,11935,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT4,0.3333333333333333,4,3,0.3454545454545454,3,3077,0.2557559013969277,0.1307551940250568,0.4661080854629241,149.18750000000125,11935,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT4,0.3333333333333333,4,3,0.3454545454545454,4,4077,0.2528465607774098,0.4000794520840133,0.4671135316296607,149.18750000000125,11935,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT4,0.3333333333333333,4,3,0.3454545454545454,5,5077,0.2510663925013562,0.128712639348993,0.4733975701717637,149.18750000000125,11935,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT5,0.3333333333333333,4,3,0.1641157302261281,0,77,0.2685122370929753,0.1863215053611902,0.4626246667324973,126.5875000000202,10127,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT5,0.3333333333333333,4,3,0.1641157302261281,1,1077,0.2560856262913853,0.3305571123893218,0.4727954971857411,126.5875000000202,10127,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT5,0.3333333333333333,4,3,0.1641157302261281,2,2077,0.2473710360524796,0.1236557040995312,0.4635133800730719,126.5875000000202,10127,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT5,0.3333333333333333,4,3,0.1641157302261281,3,3077,0.2513784690624732,0.3534347100780342,0.4674632171422929,126.5875000000202,10127,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT5,0.3333333333333333,4,3,0.1641157302261281,4,4077,0.2483808643217789,0.1824682719052548,0.4671669793621013,126.5875000000202,10127,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT5,0.3333333333333333,4,3,0.1641157302261281,5,5077,0.2514857215640407,0.2059491540925912,0.4752641453540041,126.5875000000202,10127,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT6,0.3333333333333333,4,3,0.9987162671280664,0,77,0.2587189006207242,0.190064713003352,0.4662461976390478,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT6,0.3333333333333333,4,3,0.9987162671280664,1,1077,0.257183036086851,0.1793610012713188,0.4752044205062373,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT6,0.3333333333333333,4,3,0.9987162671280664,2,2077,0.2517355456339487,0.3477307741766768,0.4691485502190718,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT6,0.3333333333333333,4,3,0.9987162671280664,3,3077,0.2614552062293149,0.5911456549998161,0.4723857896352524,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT6,0.3333333333333333,4,3,0.9987162671280664,4,4077,0.2517324835013059,0.290416829582376,0.4729997488348729,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT6,0.3333333333333333,4,3,0.9987162671280664,5,5077,0.2577075201059254,0.1159047075581023,0.4709346133452404,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT7,0.3333333333333333,4,3,0.9987162671280664,0,77,0.2586350067386787,0.1900647616200264,0.4662461976390478,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT7,0.3333333333333333,4,3,0.9987162671280664,1,1077,0.2571523772414071,0.1796283224197683,0.4752044205062373,447.9124999997296,35833,1.0,8,6,,0.1
energy,power_kw,static,3,energy/building01/CT7,0.3333333333333333,4,3,0.9987162671280664,2,2077,0.2516736331320215,0.3468216578498181,0.4691485502190718,447.9124999997296,35833,1.0,8,6,,0.1
