stream_id,dataset,sensor,clamp_mode,subscription_level,scope,n_pubs,payload_bound,P_min,P_max,epsilon,w,P,strategy,trial,seed,normalized_mae,mae,kl_divergence,release_rate,attribution_advantage,avg_n_tau,eps_count_spent
energy|power_kw|1|energy,energy,power_kw,static,1,energy,12,50.0,1,,1.0,8,1,p_gated_uniform,0,77,1.010520066769676,50.52600333848379,0.9587642830478376,0.9987162671280664,0.1280562502018617,7.861105684704044,0.0
energy|power_kw|1|energy,energy,power_kw,static,1,energy,12,50.0,1,,1.0,8,1,p_gated_uniform,1,1077,1.021248607964745,51.06243039823725,0.935249102813698,0.9987162671280664,0.1280562502018617,7.861105684704044,0.0
energy|power_kw|1|energy,energy,power_kw,static,1,energy,12,50.0,1,,1.0,8,1,p_gated_uniform,2,2077,1.03193396662111,51.5966983310555,1.0282172861472227,0.9987162671280664,0.1280562502018617,7.861105684704044,0.0
energy|power_kw|1|energy,energy,power_kw,static,1,energy,12,50.0,1,,1.0,8,1,p_gated_uniform,3,3077,1.0223033615410089,51.11516807705045,0.7981555153548424,0.9987162671280664,0.1280562502018617,7.861105684704044,0.0
energy|power_kw|1|energy,energy,power_kw,static,1,energy,12,50.0,1,,1.0,8,1,p_gated_uniform,4,4077,1.023929878434971,51.19649392174856,0.8396386286487941,0.9987162671280664,0.1280562502018617,7.861105684704044,0.0
energy|power_kw|1|energy,energy,power_kw,static,1,energy,12,50.0,1,,1.0,8,1,p_gated_uniform,5,5077,1.0229657612319758,51.14828806159879,0.9503803057793124,0.9987162671280664,0.1280562502018617,7.861105684704044,0.0
energy|power_kw|2|energy/building01,energy,power_kw,static,2,energy/building01,12,50.0,1,,1.0,8,1,p_gated_uniform,0,77,1.010520066769676,50.52600333848379,0.9587642830478376,0.9987162671280664,0.1280562502018617,7.861105684704044,0.0
energy|power_kw|2|energy/building01,energy,power_kw,static,2,energy/building01,12,50.0,1,,1.0,8,1,p_gated_uniform,1,1077,1.021248607964745,51.06243039823725,0.935249102813698,0.9987162671280664,0.1280562502018617,7.861105684704044,0.0
energy|power_kw|2|energy/building01,energy,power_kw,static,2,energy/building01,12,50.0,1,,1.0,8,1,p_gated_uniform,2,2077,1.03193396662111,51.5966983310555,1.0282172861472227,0.9987162671280664,0.1280562502018617,7.861105684704044,0.0
energy|power_kw|2|energy/building01,energy,power_kw,static,2,energy/building01,12,50.0,1,,1.0,8,1,p_gated_uniform,3,3077,1.0223033615410089,51.11516807705045,0.7981555153548424,0.9987162671280664,0.1280562502018617,7.861105684704044,0.0
energy|power_kw|2|energy/building01,energy,power_kw,static,2,energy/building01,12,50.0,1,,1.0,8,1,p_gated_uniform,4,4077,1.023929878434971,51.19649392174856,0.8396386286487941,0.9987162671280664,0.1280562502018617,7.861105684704044,0.0
energy|power_kw|2|energy/building01,energy,power_kw,static,2,energy/building01,12,50.0,1,,1.0,8,1,p_gated_uniform,5,5077,1.0229657612319758,51.14828806159879,0.9503803057793124,0.9987162671280664,0.1280562502018617,7.861105684704044,0.0
energy|power_kw|3|energy/building01/CT1,energy,power_kw,static,3,energy/building01/CT1,1,50.0,1,,1.0,8,1,p_gated_uniform,0,77,7.898403510848636,394.9201755424318,0.726613155740923,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT1,energy,power_kw,static,3,energy/building01/CT1,1,50.0,1,,1.0,8,1,p_gated_uniform,1,1077,7.981617390977083,399.0808695488541,0.8579464112791282,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT1,energy,power_kw,static,3,energy/building01/CT1,1,50.0,1,,1.0,8,1,p_gated_uniform,2,2077,8.05518649461334,402.75932473066695,0.9377198464028924,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT1,energy,power_kw,static,3,energy/building01/CT1,1,50.0,1,,1.0,8,1,p_gated_uniform,3,3077,7.981728817060072,399.0864408530037,0.9848117650101386,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT1,energy,power_kw,static,3,energy/building01/CT1,1,50.0,1,,1.0,8,1,p_gated_uniform,4,4077,7.991721718440528,399.5860859220264,0.9126897642498256,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT1,energy,power_kw,static,3,energy/building01/CT1,1,50.0,1,,1.0,8,1,p_gated_uniform,5,5077,7.984857715768562,399.2428857884281,0.9933288215853604,0.9987162671280664,1.0,0.9987162671280664,0.0
energy|power_kw|3|energy/building01/CT2,energy,power_kw,static,3,energy/building01/CT2,1,50.0,1,,1.0,8,1,p_gated_uniform,0,77,7.9123616262979555,395.6180813148978,0.7275234063686086,0.997916842609014,1.0,0.997916842609014,0.0
energy|power_kw|3|energy/building01/CT2,energy,power_kw,static,3,energy/building01/CT2,1,50.0,1,,1.0,8,1,p_gated_uniform,1,1077,7.976627626341386,398.8313813170693,0.858326869343401,0.997916842609014,1.0,0.997916842609014,0.0
energy|power_kw|3|energy/building01/CT2,energy,power_kw,static,3,energy/building01/CT2,1,50.0,1,,1.0,8,1,p_gated_uniform,2,2077,8.045570131750072,402.2785065875036,0.9380591492111938,0.997916842609014,1.0,0.997916842609014,0.0
energy|power_kw|3|energy/building01/CT2,energy,power_kw,static,3,energy/building01/CT2,1,50.0,1,,1.0,8,1,p_gated_uniform,3,3077,7.982779647312684,399.1389823656342,0.9840408746171312,0.997916842609014,1.0,0.997916842609014,0.0
