dataset,publisher_id,sensor,raw_topic,protected_topic
energy,CT1,power_kw,energy/building01/CT1/power_kw,CT1/power_kw
energy,CT2,power_kw,energy/building01/CT2/power_kw,CT2/power_kw
energy,CT3,power_kw,energy/building01/CT3/power_kw,CT3/power_kw
energy,CT4,power_kw,energy/building01/CT4/power_kw,CT4/power_kw
energy,CT5,power_kw,energy/building01/CT5/power_kw,CT5/power_kw
energy,CT6,power_kw,energy/building01/CT6/power_kw,CT6/power_kw
energy,CT7,power_kw,energy/building01/CT7/power_kw,CT7/power_kw
energy,CT8,power_kw,energy/building01/CT8/power_kw,CT8/power_kw
energy,CT9,power_kw,energy/building01/CT9/power_kw,CT9/power_kw
energy,CT10,power_kw,energy/building01/CT10/power_kw,CT10/power_kw
energy,CT13,power_kw,energy/building01/CT13/power_kw,CT13/power_kw
energy,CT17,power_kw,energy/building01/CT17/power_kw,CT17/power_kw
energy,CT1,voltage,energy/building01/CT1/voltage,CT1/voltage
energy,CT2,voltage,energy/building01/CT2/voltage,CT2/voltage
energy,CT3,voltage,energy/building01/CT3/voltage,CT3/voltage
energy,CT4,voltage,energy/building01/CT4/voltage,CT4/voltage
energy,CT5,voltage,energy/building01/CT5/voltage,CT5/voltage
energy,CT6,voltage,energy/building01/CT6/voltage,CT6/voltage
energy,CT7,voltage,energy/building01/CT7/voltage,CT7/voltage
energy,CT8,voltage,energy/building01/CT8/voltage,CT8/voltage
energy,CT9,voltage,energy/building01/CT9/voltage,CT9/voltage
energy,CT10,voltage,energy/building01/CT10/voltage,CT10/voltage
energy,CT13,voltage,energy/building01/CT13/voltage,CT13/voltage
energy,CT17,voltage,energy/building01/CT17/voltage,CT17/voltage
energy,CT1,current,energy/building01/CT1/current,CT1/current
energy,CT2,current,energy/building01/CT2/current,CT2/current
energy,CT3,current,energy/building01/CT3/current,CT3/current
energy,CT4,current,energy/building01/CT4/current,CT4/current
energy,CT5,current,energy/building01/CT5/current,CT5/current
energy,CT6,current,energy/building01/CT6/current,CT6/current
energy,CT7,current,energy/building01/CT7/current,CT7/current
energy,CT8,current,energy/building01/CT8/current,CT8/current
energy,CT9,current,energy/building01/CT9/current,CT9/current
energy,CT10,current,energy/building01/CT10/current,CT10/current
energy,CT13,current,energy/building01/CT13/current,CT13/current
energy,CT17,current,energy/building01/CT17/current,CT17/current
