dataset,publisher_id,sensor,raw_topic,protected_topic
manufacturing,sub_0,temperature,factory/line1/sorting/machine0/temperature,sorting/machine0/temperature
manufacturing,sub_1,temperature,factory/line1/processing/machine1/temperature,processing/machine1/temperature
manufacturing,sub_2,temperature,factory/line1/warehouse/machine2/temperature,warehouse/machine2/temperature
manufacturing,sub_3,temperature,factory/line1/robotics/machine3/temperature,robotics/machine3/temperature
manufacturing,sub_4,temperature,factory/line1/sorting/machine4/temperature,sorting/machine4/temperature
manufacturing,sub_5,temperature,factory/line1/processing/machine5/temperature,processing/machine5/temperature
manufacturing,sub_6,temperature,factory/line1/warehouse/machine6/temperature,warehouse/machine6/temperature
manufacturing,sub_7,temperature,factory/line1/robotics/machine7/temperature,robotics/machine7/temperature
manufacturing,sub_8,temperature,factory/line1/sorting/machine8/temperature,sorting/machine8/temperature
manufacturing,sub_9,temperature,factory/line1/processing/machine9/temperature,processing/machine9/temperature
manufacturing,sub_0,machine_speed,factory/line1/sorting/machine0/machine_speed,sorting/machine0/machine_speed
manufacturing,sub_1,machine_speed,factory/line1/processing/machine1/machine_speed,processing/machine1/machine_speed
manufacturing,sub_2,machine_speed,factory/line1/warehouse/machine2/machine_speed,warehouse/machine2/machine_speed
manufacturing,sub_3,machine_speed,factory/line1/robotics/machine3/machine_speed,robotics/machine3/machine_speed
manufacturing,sub_4,machine_speed,factory/line1/sorting/machine4/machine_speed,sorting/machine4/machine_speed
manufacturing,sub_5,machine_speed,factory/line1/processing/machine5/machine_speed,processing/machine5/machine_speed
manufacturing,sub_6,machine_speed,factory/line1/warehouse/machine6/machine_speed,warehouse/machine6/machine_speed
manufacturing,sub_7,machine_speed,factory/line1/robotics/machine7/machine_speed,robotics/machine7/machine_speed
manufacturing,sub_8,machine_speed,factory/line1/sorting/machine8/machine_speed,sorting/machine8/machine_speed
manufacturing,sub_9,machine_speed,factory/line1/processing/machine9/machine_speed,processing/machine9/machine_speed
manufacturing,sub_0,quality,factory/line1/sorting/machine0/quality,sorting/machine0/quality
manufacturing,sub_1,quality,factory/line1/processing/machine1/quality,processing/machine1/quality
manufacturing,sub_2,quality,factory/line1/warehouse/machine2/quality,warehouse/machine2/quality
manufacturing,sub_3,quality,factory/line1/robotics/machine3/quality,robotics/machine3/quality
manufacturing,sub_4,quality,factory/line1/sorting/machine4/quality,sorting/machine4/quality
manufacturing,sub_5,quality,factory/line1/processing/machine5/quality,processing/machine5/quality
manufacturing,sub_6,quality,factory/line1/warehouse/machine6/quality,warehouse/machine6/quality
manufacturing,sub_7,quality,factory/line1/robotics/machine7/quality,robotics/machine7/quality
manufacturing,sub_8,quality,factory/line1/sorting/machine8/quality,sorting/machine8/quality
manufacturing,sub_9,quality,factory/line1/processing/machine9/quality,processing/machine9/quality
manufacturing,sub_0,vibration,factory/line1/sorting/machine0/vibration,sorting/machine0/vibration
manufacturing,sub_1,vibration,factory/line1/processing/machine1/vibration,processing/machine1/vibration
manufacturing,sub_2,vibration,factory/line1/warehouse/machine2/vibration,warehouse/machine2/vibration
manufacturing,sub_3,vibration,factory/line1/robotics/machine3/vibration,robotics/machine3/vibration
manufacturing,sub_4,vibration,factory/line1/sorting/machine4/vibration,sorting/machine4/vibration
manufacturing,sub_5,vibration,factory/line1/processing/machine5/vibration,processing/machine5/vibration
manufacturing,sub_6,vibration,factory/line1/warehouse/machine6/vibration,warehouse/machine6/vibration
manufacturing,sub_7,vibration,factory/line1/robotics/machine7/vibration,robotics/machine7/vibration
manufacturing,sub_8,vibration,factory/line1/sorting/machine8/vibration,sorting/machine8/vibration
manufacturing,sub_9,vibration,factory/line1/processing/machine9/vibration,processing/machine9/vibration
manufacturing,sub_0,energy,factory/line1/sorting/machine0/energy,sorting/machine0/energy
manufacturing,sub_1,energy,factory/line1/processing/machine1/energy,processing/machine1/energy
manufacturing,sub_2,energy,factory/line1/warehouse/machine2/energy,warehouse/machine2/energy
manufacturing,sub_3,energy,factory/line1/robotics/machine3/energy,robotics/machine3/energy
manufacturing,sub_4,energy,factory/line1/sorting/machine4/energy,sorting/machine4/energy
manufacturing,sub_5,energy,factory/line1/processing/machine5/energy,processing/machine5/energy
manufacturing,sub_6,energy,factory/line1/warehouse/machine6/energy,warehouse/machine6/energy
manufacturing,sub_7,energy,factory/line1/robotics/machine7/energy,robotics/machine7/energy
manufacturing,sub_8,energy,factory/line1/sorting/machine8/energy,sorting/machine8/energy
manufacturing,sub_9,energy,factory/line1/processing/machine9/energy,processing/machine9/energy
