dataset,publisher_id,sensor,raw_topic,protected_topic
mobility,cell_0_0,traffic_speed,mobility/nyc/SW/cell_0_0/traffic_speed,SW/cell_0_0/traffic_speed
mobility,cell_0_1,traffic_speed,mobility/nyc/SW/cell_0_1/traffic_speed,SW/cell_0_1/traffic_speed
mobility,cell_0_2,traffic_speed,mobility/nyc/SE/cell_0_2/traffic_speed,SE/cell_0_2/traffic_speed
mobility,cell_0_3,traffic_speed,mobility/nyc/SE/cell_0_3/traffic_speed,SE/cell_0_3/traffic_speed
mobility,cell_1_0,traffic_speed,mobility/nyc/SW/cell_1_0/traffic_speed,SW/cell_1_0/traffic_speed
mobility,cell_1_1,traffic_speed,mobility/nyc/SW/cell_1_1/traffic_speed,SW/cell_1_1/traffic_speed
mobility,cell_1_2,traffic_speed,mobility/nyc/SE/cell_1_2/traffic_speed,SE/cell_1_2/traffic_speed
mobility,cell_1_3,traffic_speed,mobility/nyc/SE/cell_1_3/traffic_speed,SE/cell_1_3/traffic_speed
mobility,cell_2_0,traffic_speed,mobility/nyc/NW/cell_2_0/traffic_speed,NW/cell_2_0/traffic_speed
mobility,cell_2_1,traffic_speed,mobility/nyc/NW/cell_2_1/traffic_speed,NW/cell_2_1/traffic_speed
mobility,cell_2_2,traffic_speed,mobility/nyc/NE/cell_2_2/traffic_speed,NE/cell_2_2/traffic_speed
mobility,cell_2_3,traffic_speed,mobility/nyc/NE/cell_2_3/traffic_speed,NE/cell_2_3/traffic_speed
mobility,cell_3_0,traffic_speed,mobility/nyc/NW/cell_3_0/traffic_speed,NW/cell_3_0/traffic_speed
mobility,cell_3_1,traffic_speed,mobility/nyc/NW/cell_3_1/traffic_speed,NW/cell_3_1/traffic_speed
mobility,cell_3_2,traffic_speed,mobility/nyc/NE/cell_3_2/traffic_speed,NE/cell_3_2/traffic_speed
mobility,cell_3_3,traffic_speed,mobility/nyc/NE/cell_3_3/traffic_speed,NE/cell_3_3/traffic_speed
mobility,cell_0_0,vehicle_count,mobility/nyc/SW/cell_0_0/vehicle_count,SW/cell_0_0/vehicle_count
mobility,cell_0_1,vehicle_count,mobility/nyc/SW/cell_0_1/vehicle_count,SW/cell_0_1/vehicle_count
mobility,cell_0_2,vehicle_count,mobility/nyc/SE/cell_0_2/vehicle_count,SE/cell_0_2/vehicle_count
mobility,cell_0_3,vehicle_count,mobility/nyc/SE/cell_0_3/vehicle_count,SE/cell_0_3/vehicle_count
mobility,cell_1_0,vehicle_count,mobility/nyc/SW/cell_1_0/vehicle_count,SW/cell_1_0/vehicle_count
mobility,cell_1_1,vehicle_count,mobility/nyc/SW/cell_1_1/vehicle_count,SW/cell_1_1/vehicle_count
mobility,cell_1_2,vehicle_count,mobility/nyc/SE/cell_1_2/vehicle_count,SE/cell_1_2/vehicle_count
mobility,cell_1_3,vehicle_count,mobility/nyc/SE/cell_1_3/vehicle_count,SE/cell_1_3/vehicle_count
mobility,cell_2_0,vehicle_count,mobility/nyc/NW/cell_2_0/vehicle_count,NW/cell_2_0/vehicle_count
mobility,cell_2_1,vehicle_count,mobility/nyc/NW/cell_2_1/vehicle_count,NW/cell_2_1/vehicle_count
mobility,cell_2_2,vehicle_count,mobility/nyc/NE/cell_2_2/vehicle_count,NE/cell_2_2/vehicle_count
mobility,cell_2_3,vehicle_count,mobility/nyc/NE/cell_2_3/vehicle_count,NE/cell_2_3/vehicle_count
mobility,cell_3_0,vehicle_count,mobility/nyc/NW/cell_3_0/vehicle_count,NW/cell_3_0/vehicle_count
mobility,cell_3_1,vehicle_count,mobility/nyc/NW/cell_3_1/vehicle_count,NW/cell_3_1/vehicle_count
mobility,cell_3_2,vehicle_count,mobility/nyc/NE/cell_3_2/vehicle_count,NE/cell_3_2/vehicle_count
mobility,cell_3_3,vehicle_count,mobility/nyc/NE/cell_3_3/vehicle_count,NE/cell_3_3/vehicle_count
mobility,cell_0_0,road_occupancy,mobility/nyc/SW/cell_0_0/road_occupancy,SW/cell_0_0/road_occupancy
mobility,cell_0_1,road_occupancy,mobility/nyc/SW/cell_0_1/road_occupancy,SW/cell_0_1/road_occupancy
mobility,cell_0_2,road_occupancy,mobility/nyc/SE/cell_0_2/road_occupancy,SE/cell_0_2/road_occupancy
mobility,cell_0_3,road_occupancy,mobility/nyc/SE/cell_0_3/road_occupancy,SE/cell_0_3/road_occupancy
mobility,cell_1_0,road_occupancy,mobility/nyc/SW/cell_1_0/road_occupancy,SW/cell_1_0/road_occupancy
mobility,cell_1_1,road_occupancy,mobility/nyc/SW/cell_1_1/road_occupancy,SW/cell_1_1/road_occupancy
mobility,cell_1_2,road_occupancy,mobility/nyc/SE/cell_1_2/road_occupancy,SE/cell_1_2/road_occupancy
mobility,cell_1_3,road_occupancy,mobility/nyc/SE/cell_1_3/road_occupancy,SE/cell_1_3/road_occupancy
mobility,cell_2_0,road_occupancy,mobility/nyc/NW/cell_2_0/road_occupancy,NW/cell_2_0/road_occupancy
mobility,cell_2_1,road_occupancy,mobility/nyc/NW/cell_2_1/road_occupancy,NW/cell_2_1/road_occupancy
mobility,cell_2_2,road_occupancy,mobility/nyc/NE/cell_2_2/road_occupancy,NE/cell_2_2/road_occupancy
mobility,cell_2_3,road_occupancy,mobility/nyc/NE/cell_2_3/road_occupancy,NE/cell_2_3/road_occupancy
mobility,cell_3_0,road_occupancy,mobility/nyc/NW/cell_3_0/road_occupancy,NW/cell_3_0/road_occupancy
mobility,cell_3_1,road_occupancy,mobility/nyc/NW/cell_3_1/road_occupancy,NW/cell_3_1/road_occupancy
mobility,cell_3_2,road_occupancy,mobility/nyc/NE/cell_3_2/road_occupancy,NE/cell_3_2/road_occupancy
mobility,cell_3_3,road_occupancy,mobility/nyc/NE/cell_3_3/road_occupancy,NE/cell_3_3/road_occupancy
mobility,cell_0_0,emission,mobility/nyc/SW/cell_0_0/emission,SW/cell_0_0/emission
mobility,cell_0_1,emission,mobility/nyc/SW/cell_0_1/emission,SW/cell_0_1/emission
mobility,cell_0_2,emission,mobility/nyc/SE/cell_0_2/emission,SE/cell_0_2/emission
mobility,cell_0_3,emission,mobility/nyc/SE/cell_0_3/emission,SE/cell_0_3/emission
mobility,cell_1_0,emission,mobility/nyc/SW/cell_1_0/emission,SW/cell_1_0/emission
mobility,cell_1_1,emission,mobility/nyc/SW/cell_1_1/emission,SW/cell_1_1/emission
mobility,cell_1_2,emission,mobility/nyc/SE/cell_1_2/emission,SE/cell_1_2/emission
mobility,cell_1_3,emission,mobility/nyc/SE/cell_1_3/emission,SE/cell_1_3/emission
mobility,cell_2_0,emission,mobility/nyc/NW/cell_2_0/emission,NW/cell_2_0/emission
mobility,cell_2_1,emission,mobility/nyc/NW/cell_2_1/emission,NW/cell_2_1/emission
mobility,cell_2_2,emission,mobility/nyc/NE/cell_2_2/emission,NE/cell_2_2/emission
mobility,cell_2_3,emission,mobility/nyc/NE/cell_2_3/emission,NE/cell_2_3/emission
mobility,cell_3_0,emission,mobility/nyc/NW/cell_3_0/emission,NW/cell_3_0/emission
mobility,cell_3_1,emission,mobility/nyc/NW/cell_3_1/emission,NW/cell_3_1/emission
mobility,cell_3_2,emission,mobility/nyc/NE/cell_3_2/emission,NE/cell_3_2/emission
mobility,cell_3_3,emission,mobility/nyc/NE/cell_3_3/emission,NE/cell_3_3/emission
