dataset,publisher_id,sensor,raw_topic,protected_topic
pune,BopadiSquare_65,pm10,air_quality/pune/BopadiSquare_65/pm10,BopadiSquare_65/pm10
pune,Chitale Bandhu Corner_41,pm10,air_quality/pune/Chitale_Bandhu_Corner_41/pm10,Chitale_Bandhu_Corner_41/pm10
pune,Dr Baba Saheb Ambedkar Sethu Junction_60,pm10,air_quality/pune/Dr_Baba_Saheb_Ambedkar_Sethu_Junction_60/pm10,Dr_Baba_Saheb_Ambedkar_Sethu_Junction_60/pm10
pune,Goodluck Square_Cafe_23,pm10,air_quality/pune/Goodluck_Square_Cafe_23/pm10,Goodluck_Square_Cafe_23/pm10
pune,Hadapsar_Gadital_01,pm10,air_quality/pune/Hadapsar_Gadital_01/pm10,Hadapsar_Gadital_01/pm10
pune,Karve Statue Square_5,pm10,air_quality/pune/Karve_Statue_Square_5/pm10,Karve_Statue_Square_5/pm10
pune,Lullanagar_Square_14,pm10,air_quality/pune/Lullanagar_Square_14/pm10,Lullanagar_Square_14/pm10
pune,PMPML_Bus_Depot_Deccan_15,pm10,air_quality/pune/PMPML_Bus_Depot_Deccan_15/pm10,PMPML_Bus_Depot_Deccan_15/pm10
pune,Pune Railway Station_28,pm10,air_quality/pune/Pune_Railway_Station_28/pm10,Pune_Railway_Station_28/pm10
pune,Rajashri_Shahu_Bus_stand_19,pm10,air_quality/pune/Rajashri_Shahu_Bus_stand_19/pm10,Rajashri_Shahu_Bus_stand_19/pm10
pune,BopadiSquare_65,pm2,air_quality/pune/BopadiSquare_65/pm2,BopadiSquare_65/pm2
pune,Chitale Bandhu Corner_41,pm2,air_quality/pune/Chitale_Bandhu_Corner_41/pm2,Chitale_Bandhu_Corner_41/pm2
pune,Dr Baba Saheb Ambedkar Sethu Junction_60,pm2,air_quality/pune/Dr_Baba_Saheb_Ambedkar_Sethu_Junction_60/pm2,Dr_Baba_Saheb_Ambedkar_Sethu_Junction_60/pm2
pune,Goodluck Square_Cafe_23,pm2,air_quality/pune/Goodluck_Square_Cafe_23/pm2,Goodluck_Square_Cafe_23/pm2
pune,Hadapsar_Gadital_01,pm2,air_quality/pune/Hadapsar_Gadital_01/pm2,Hadapsar_Gadital_01/pm2
