dataset,publisher_id,sensor,raw_topic,protected_topic
wearable,Device_1,heart_rate,health/hospital02/Device_1/heart_rate,hospital02/Device_1/heart_rate
wearable,Device_10,heart_rate,health/hospital01/Device_10/heart_rate,hospital01/Device_10/heart_rate
wearable,Device_2,heart_rate,health/hospital03/Device_2/heart_rate,hospital03/Device_2/heart_rate
wearable,Device_3,heart_rate,health/hospital04/Device_3/heart_rate,hospital04/Device_3/heart_rate
wearable,Device_4,heart_rate,health/hospital05/Device_4/heart_rate,hospital05/Device_4/heart_rate
wearable,Device_5,heart_rate,health/hospital01/Device_5/heart_rate,hospital01/Device_5/heart_rate
wearable,Device_6,heart_rate,health/hospital02/Device_6/heart_rate,hospital02/Device_6/heart_rate
wearable,Device_7,heart_rate,health/hospital03/Device_7/heart_rate,hospital03/Device_7/heart_rate
wearable,Device_8,heart_rate,health/hospital04/Device_8/heart_rate,hospital04/Device_8/heart_rate
wearable,Device_9,heart_rate,health/hospital05/Device_9/heart_rate,hospital05/Device_9/heart_rate
wearable,Device_1,steps,health/hospital02/Device_1/steps,hospital02/Device_1/steps
wearable,Device_10,steps,health/hospital01/Device_10/steps,hospital01/Device_10/steps
wearable,Device_2,steps,health/hospital03/Device_2/steps,hospital03/Device_2/steps
wearable,Device_3,steps,health/hospital04/Device_3/steps,hospital04/Device_3/steps
wearable,Device_4,steps,health/hospital05/Device_4/steps,hospital05/Device_4/steps
wearable,Device_5,steps,health/hospital01/Device_5/steps,hospital01/Device_5/steps
wearable,Device_6,steps,health/hospital02/Device_6/steps,hospital02/Device_6/steps
wearable,Device_7,steps,health/hospital03/Device_7/steps,hospital03/Device_7/steps
wearable,Device_8,steps,health/hospital04/Device_8/steps,hospital04/Device_8/steps
wearable,Device_9,steps,health/hospital05/Device_9/steps,hospital05/Device_9/steps
wearable,Device_1,temperature,health/hospital02/Device_1/temperature,hospital02/Device_1/temperature
wearable,Device_10,temperature,health/hospital01/Device_10/temperature,hospital01/Device_10/temperature
wearable,Device_2,temperature,health/hospital03/Device_2/temperature,hospital03/Device_2/temperature
wearable,Device_3,temperature,health/hospital04/Device_3/temperature,hospital04/Device_3/temperature
wearable,Device_4,temperature,health/hospital05/Device_4/temperature,hospital05/Device_4/temperature
wearable,Device_5,temperature,health/hospital01/Device_5/temperature,hospital01/Device_5/temperature
wearable,Device_6,temperature,health/hospital02/Device_6/temperature,hospital02/Device_6/temperature
wearable,Device_7,temperature,health/hospital03/Device_7/temperature,hospital03/Device_7/temperature
wearable,Device_8,temperature,health/hospital04/Device_8/temperature,hospital04/Device_8/temperature
wearable,Device_9,temperature,health/hospital05/Device_9/temperature,hospital05/Device_9/temperature
wearable,Device_1,calories_burned,health/hospital02/Device_1/calories_burned,hospital02/Device_1/calories_burned
wearable,Device_10,calories_burned,health/hospital01/Device_10/calories_burned,hospital01/Device_10/calories_burned
wearable,Device_2,calories_burned,health/hospital03/Device_2/calories_burned,hospital03/Device_2/calories_burned
wearable,Device_3,calories_burned,health/hospital04/Device_3/calories_burned,hospital04/Device_3/calories_burned
wearable,Device_4,calories_burned,health/hospital05/Device_4/calories_burned,hospital05/Device_4/calories_burned
wearable,Device_5,calories_burned,health/hospital01/Device_5/calories_burned,hospital01/Device_5/calories_burned
wearable,Device_6,calories_burned,health/hospital02/Device_6/calories_burned,hospital02/Device_6/calories_burned
wearable,Device_7,calories_burned,health/hospital03/Device_7/calories_burned,hospital03/Device_7/calories_burned
wearable,Device_8,calories_burned,health/hospital04/Device_8/calories_burned,hospital04/Device_8/calories_burned
wearable,Device_9,calories_burned,health/hospital05/Device_9/calories_burned,hospital05/Device_9/calories_burned
