sensor,S,epsilon,w,strategy,mae,rmse,relative_error,noise_scale_theoretical,normalized_mae,kl_divergence,kl_global_utility
temperature,1,1.0,4,uniform,413.11341413489095,578.8101414989501,5.146642952233404,420.0,3.9344134679513423,1.0670183817200034,0.6356137024444019
temperature,1,1.0,4,sample,121.5536598149609,212.34839519208393,1.4958799557424098,420.0,1.1576539029996276,0.33568010907481244,1.4889798087590784
temperature,1,1.0,4,budget_absorption,83.6205971172789,92.1998971081198,1.0417607903544577,420.0,0.79638663921218,4.070247381244158,3.232952783401038
temperature,1,1.0,8,uniform,735.0855402160041,961.2999736901722,9.157830962143665,840.0,7.000814668723849,1.2044436919238388,0.8971433683058988
temperature,1,1.0,8,sample,151.82426113489646,205.92357798404194,1.8418609648145787,840.0,1.445945344141871,0.7812940026941022,2.433496880908025
temperature,1,1.0,8,budget_absorption,84.83686161125205,267.42072036951873,1.0569132372898038,840.0,0.8079701105833528,3.6693613818701434,3.1931500316124106
temperature,1,1.0,10,uniform,1028.8685578813595,1422.8531522587682,12.817833870835372,1050.0,9.798748170298662,0.9825785705409057,0.7968249637728877
temperature,1,1.0,10,sample,103.85850778620883,149.8846578912541,1.253450153945578,1050.0,0.9891286455829412,0.2457521339437259,1.8048682576858615
temperature,1,1.0,10,budget_absorption,3721.570755541211,3817.6562556059416,46.36401347643007,1050.0,35.44353100515439,4.26721300170388,3.4214628594135004
temperature,1,1.0,12,uniform,1123.8393416957476,1516.7509337476663,14.00099737621311,1260.0,10.703231825673788,1.0820049860111158,0.8468209231446334
temperature,1,1.0,12,sample,95.01298353983124,134.2705499304278,1.1423399001473387,1260.0,0.9048855575222022,1.8475490800643746,1.9340297883997761
temperature,1,1.0,12,budget_absorption,86.60749850171696,227.0068669824016,1.0789721575801534,1260.0,0.8248333190639711,5.416656003834355,3.214030367268881
temperature,1,2.0,4,uniform,218.02520092053908,317.55693071321645,2.71619808346522,210.0,2.076430484957515,0.9001574457264353,0.661121853355906
temperature,1,2.0,4,sample,63.80793506252001,84.38032518232255,0.7852417707754537,210.0,0.6076946196430477,0.48804334431456786,1.6111608296988613
temperature,1,2.0,4,budget_absorption,107.13764780221409,115.24279439325366,1.3347405364089326,210.0,1.020358550497277,3.310310981870518,3.1985121572327198
temperature,1,2.0,8,uniform,418.97823477518995,594.8312286231597,5.219707967267392,420.0,3.9902689026208567,0.7122613320939174,0.8196088051362651
temperature,1,2.0,8,sample,56.41130118230057,71.19807768748022,0.6843555361007868,420.0,0.5372504874504817,0.616242888340746,2.011054544433787
temperature,1,2.0,8,budget_absorption,356.6024382442695,367.6723312468114,4.442618813001914,420.0,3.3962136975644714,4.195789326367155,3.3972559496776644
temperature,1,2.0,10,uniform,546.0048135718861,795.3692497897372,6.802228466824131,525.0,5.200045843541772,0.7303318770516962,0.782802589684691
temperature,1,2.0,10,sample,66.04348707503567,82.1836464827651,0.7970672870797663,525.0,0.6289855911908159,0.3134354470546885,3.181977042583665
temperature,1,2.0,10,budget_absorption,279.6094454274044,332.98216725419445,3.4834259369194895,525.0,2.6629470993086133,3.150436122195494,3.3450015106177595
temperature,1,2.0,12,uniform,557.3726356612169,740.8611814232647,6.9438508868097335,630.0,5.308310815821113,0.8921030872787596,1.0037442403407657
temperature,1,2.0,12,sample,34.52833476177042,41.91120965537267,0.4151337324069969,630.0,0.32884128344543256,1.6736281461639955,2.2811656725951193
temperature,1,2.0,12,budget_absorption,278.8179138901452,282.13335717227756,3.4735648913365553,630.0,2.6554087037156684,5.516366665664734,3.4376492349068677
temperature,1,3.0,4,uniform,147.47709484591107,219.03528424364757,1.8372967926834998,140.0,1.4045437604372484,0.6447966284104986,0.6204792658797893
temperature,1,3.0,4,sample,23.471403230945985,43.607050995006986,0.2888469313039831,140.0,0.223537173628057,0.10163593756656214,1.2147794421455966
temperature,1,3.0,4,budget_absorption,174.0040938043651,177.4271710499841,2.167775028349921,140.0,1.6571818457558583,5.561405713209316,3.3753625597065495
temperature,1,3.0,8,uniform,286.9725225995511,377.7306064232712,3.575156507600997,280.0,2.7330716438052485,1.1505469060290676,0.9049113521083041
